anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,988,2024-01-30,34325.75
2024,983,2024-01-30,26407.3
2024,1572,2024-02-28,52378.97
2024,2315,2024-03-27,68734.71
2024,3071,2024-04-29,63182.82
2024,3703,2024-05-29,72318.5
2024,4454,2024-06-27,63981.65
2024,4645,2024-07-03,31430.89
2024,5188,2024-07-31,63869.28
2024,5425,2024-08-08,150.64
2024,5978,2024-08-29,64047.67
2024,6650,2024-09-27,60927.39
2024,7319,2024-10-30,56897.73
2024,8004,2024-11-28,57381.27
2024,8596,2024-12-19,20629.01
2024,8552,2024-12-19,18008.59
2024,8238,2024-12-05,28749.97
2024,8730,2024-12-19,1951.51
2024,8723,2024-12-19,3039.57
2024,8724,2024-12-19,1983.71
2024,8591,2024-12-19,55107.08
