anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,903,2024-01-30,3076.93
2024,1065,2024-01-30,4152.82
2024,1085,2024-01-30,82820.35
2024,1681,2024-02-28,85090.78
2024,1630,2024-02-28,6830.54
2024,1564,2024-02-28,1467.21
2024,2364,2024-03-27,97.82
2024,2227,2024-03-27,3269.86
2024,2357,2024-03-27,94201.05
2024,3023,2024-04-29,2571.75
2024,3122,2024-04-29,10462.25
2024,2675,2024-04-15,75698.47
2024,3148,2024-04-29,84030.82
2024,3043,2024-04-29,6234.14
2024,2998,2024-04-29,8832.46
2024,3771,2024-05-29,5640.64
2024,3763,2024-05-29,92448.29
2024,4517,2024-06-27,98380.39
2024,4654,2024-07-03,46356.57
2024,5226,2024-07-31,103185.8
2024,5530,2024-08-08,2799.56
2024,5423,2024-08-08,758.54
2024,6036,2024-08-29,105872.3
2024,6670,2024-09-27,105106.3
2024,6605,2024-09-27,6420.32
2024,7336,2024-10-30,650.78
2024,7251,2024-10-30,1599.95
2024,7425,2024-10-30,109317.86
2024,8038,2024-11-28,107689.77
2024,8061,2024-11-28,3493.78
2024,8717,2024-12-19,272656.8
2024,8567,2024-12-19,4904.23
2024,8620,2024-12-19,110204.89
2024,8256,2024-12-05,55329.05
2024,8793,2024-12-30,18611.14
2024,8629,2024-12-19,1306.08
