anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2026,17,2026-01-02,13788
2026,14,2026-01-02,488236.42
2026,12,2026-01-02,727.14
2026,25,2026-01-02,9985
2026,10,2026-01-02,6910.55
2026,13,2026-01-02,1010.7
2026,1,2026-01-02,5000
2026,16,2026-01-02,19439.24
2026,9,2026-01-02,159964.03
2026,8,2026-01-02,50000
2026,4,2026-01-02,100000
2026,20,2026-01-02,21000
2026,3,2026-01-02,49238.03
2026,30,2026-01-19,14950
2026,21,2026-01-02,49000
2026,22,2026-01-02,2100
2026,11,2026-01-02,738.46
2026,2,2026-01-02,5000
2026,24,2026-01-02,4085.87
2026,23,2026-01-02,1.63
2026,18,2026-01-02,346.82
2026,29,2026-01-19,108000
2026,5,2026-01-02,100000
2026,19,2026-01-02,34920.1
2026,35,2026-02-23,120
2026,36,2026-02-23,120
2026,31,2026-02-06,2610
2026,44,2026-03-17,3020.19
2026,50,2026-03-31,8167.8
2026,42,2026-03-10,4592
2026,47,2026-03-24,4329
2026,45,2026-03-23,43.8
2026,41,2026-03-10,405
2026,37,2026-03-03,9196
2026,39,2026-03-03,17520
2026,43,2026-03-11,12920
2026,48,2026-03-25,5500
2026,40,2026-03-04,18164.44
2026,49,2026-03-31,18872.47
2026,62,2026-04-13,53.68
2026,59,2026-04-09,120
2026,60,2026-04-09,120
2026,54,2026-04-02,6900
2026,55,2026-04-02,1600
2026,61,2026-04-10,2340
2026,56,2026-04-07,5604
2026,53,2026-04-01,2385.2
2026,52,2026-04-01,9770
2026,58,2026-04-09,74000
