anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,3481,2025-05-19,79.79
2025,3482,2025-05-19,79.79
2025,3283,2025-05-07,2800
2025,5663,2025-08-21,79.79
2025,6141,2025-09-09,824.4
2025,6151,2025-09-09,3297.6
2025,6142,2025-09-09,2473.2
2025,6144,2025-09-09,1648.8
2025,6152,2025-09-09,3297.6
2025,6143,2025-09-09,2473.2
2025,6154,2025-09-09,3297.6
2025,7227,2025-10-31,3297.6
2025,6666,2025-10-01,3297.6
2025,6664,2025-10-01,3297.6
2025,6663,2025-10-01,3297.6
2025,7229,2025-10-31,3297.6
2025,7228,2025-10-31,3297.6
