anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2026,297,2026-01-02,194528.24
2026,932,2026-01-29,9461.47
2026,1033,2026-01-29,15021.81
2026,1013,2026-01-29,120719.34
2026,1086,2026-01-29,91507.5
2026,1107,2026-01-29,3287.29
2026,928,2026-01-29,13.36
2026,954,2026-01-29,7921.59
2026,1040,2026-01-29,24637.91
2026,1117,2026-01-29,37997.31
2026,1101,2026-01-29,80124.58
2026,966,2026-01-29,15147.08
2026,1084,2026-01-29,37289.55
2026,57,2026-01-02,7000000
2026,961,2026-01-29,7796.77
2026,1649,2026-02-26,7648.96
2026,1629,2026-02-26,3459.26
2026,1711,2026-02-26,39948.04
2026,1232,2026-02-05,21000.6
2026,1635,2026-02-26,18338.65
2026,1529,2026-02-26,9470.55
2026,1557,2026-02-26,5725
2026,1662,2026-02-26,2036.23
2026,1686,2026-02-26,101608.4
2026,1531,2026-02-26,4782.47
2026,1677,2026-02-26,113317.81
2026,1717,2026-02-26,136480.79
2026,2446,2026-03-30,2699.51
2026,2301,2026-03-30,456.72
2026,2406,2026-03-30,109987.63
2026,2323,2026-03-30,1182.25
2026,2424,2026-03-30,5509.24
2026,2314,2026-03-30,4583.79
2026,2287,2026-03-30,5614.44
2026,2297,2026-03-30,2349.54
2026,2450,2026-03-30,33869.52
2026,2416,2026-03-30,87493.25
2026,1820,2026-03-05,20790.28
2026,2456,2026-03-30,132507.1
2026,2409,2026-03-30,6447.57
2026,2518,2026-04-01,21617.57
