anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,1068,2025-01-30,10246
2025,906,2025-01-30,6932.64
2025,1078,2025-01-30,81853.69
2025,954,2025-01-30,2063.63
2025,1824,2025-02-27,95197.77
2025,1801,2025-02-27,3142.13
2025,2461,2025-03-28,104215.07
2025,3110,2025-04-29,106615.65
2025,3828,2025-05-29,134362.57
2025,3813,2025-05-29,1648.8
2025,4434,2025-06-26,4431.69
2025,4533,2025-06-26,1648.8
2025,4602,2025-06-26,126551.42
2025,4554,2025-06-26,1365.58
2025,4374,2025-06-26,5708.92
2025,4470,2025-06-26,5119.61
2025,5298,2025-07-30,7895.82
2025,4776,2025-07-10,60042.86
2025,5147,2025-07-30,3895.1
2025,5302,2025-07-30,121413.17
2025,5234,2025-07-30,1648.8
2025,5849,2025-08-28,1648.8
2025,5873,2025-08-28,1392.61
2025,5877,2025-08-28,126730.36
2025,6448,2025-09-29,824.4
2025,6601,2025-09-29,148278.39
2025,6551,2025-09-29,549.6
2025,6631,2025-09-29,1648.8
2025,7190,2025-10-30,169503.98
2025,7144,2025-10-30,4946.4
2025,7195,2025-10-30,1483.92
2025,7698,2025-11-27,174812.16
2025,7584,2025-11-27,1590.78
2025,7694,2025-11-27,439.68
2025,7753,2025-11-27,4946.4
2025,7918,2025-12-10,80177.06
2025,8171,2025-12-18,168574.15
2025,8167,2025-12-18,4772.35
2025,8132,2025-12-18,4946.4
2025,8060,2025-12-18,7789.53
