anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,215,2024-01-12,79.79
2024,92,2024-01-05,5000
2024,267,2024-01-18,79.79
2024,24,2024-01-03,50000
2024,97,2024-01-05,9205.8
2024,216,2024-01-12,558.4
2024,34,2024-01-03,50000
2024,792,2024-02-09,79.79
2024,793,2024-02-09,79.79
2024,1016,2024-02-28,13499
2024,824,2024-02-13,79.79
2024,782,2024-02-08,453.7
2024,727,2024-02-02,79.79
2024,874,2024-02-16,79.79
2024,755,2024-02-06,79.79
2024,1175,2024-03-04,3017.17
2024,1261,2024-03-08,79.79
2024,1566,2024-03-28,79.79
2024,1349,2024-03-14,39.9
2024,1216,2024-03-06,79.79
2024,1567,2024-03-28,79.79
2024,1403,2024-03-20,506.05
2024,1158,2024-03-01,79.79
2024,1171,2024-03-04,79.79
2024,1170,2024-03-04,79.79
2024,1437,2024-03-21,79.79
2024,1445,2024-03-22,79.79
2024,1396,2024-03-19,79.79
2024,1397,2024-03-19,79.79
2024,1363,2024-03-15,79.79
2024,1740,2024-04-12,79.79
2024,1785,2024-04-17,523.5
2024,1910,2024-04-25,79.79
2024,1679,2024-04-05,79.79
2024,1650,2024-04-03,10000
2024,1741,2024-04-12,79.79
2024,1909,2024-04-25,79.79
2024,1846,2024-04-19,79.79
2024,2097,2024-05-02,79.79
2024,2542,2024-05-31,79.79
2024,2268,2024-05-17,79.79
2024,2187,2024-05-10,79.79
2024,2543,2024-05-31,79.79
2024,2343,2024-05-24,79.79
2024,2342,2024-05-24,79.79
2024,2224,2024-05-14,5000
2024,2344,2024-05-24,79.79
2024,2213,2024-05-14,1047
2024,2711,2024-06-13,79.79
2024,3019,2024-06-28,79.79
2024,2815,2024-06-19,523.5
2024,2559,2024-06-04,79.79
2024,2627,2024-06-07,79.79
2024,3020,2024-06-28,79.79
2024,3236,2024-07-17,331.55
2024,3296,2024-07-19,79.79
2024,3203,2024-07-15,2747.76
2024,3181,2024-07-11,103565.28
2024,3384,2024-07-26,79.79
2024,3297,2024-07-19,79.79
2024,3171,2024-07-10,79.79
2024,3195,2024-07-12,79.79
2024,3678,2024-08-09,79.79
2024,3706,2024-08-13,79.79
2024,3550,2024-08-01,79.79
2024,3953,2024-08-29,1057.98
2024,3761,2024-08-16,5000
2024,3774,2024-08-16,523.5
2024,3707,2024-08-13,79.79
2024,4370,2024-09-26,79.79
2024,4214,2024-09-13,79.79
2024,4117,2024-09-06,79.79
2024,4161,2024-09-10,79.79
2024,4371,2024-09-26,79.79
2024,4322,2024-09-20,79.79
2024,4349,2024-09-24,977.2
2024,4637,2024-10-11,79.79
2024,4636,2024-10-11,79.79
2024,4551,2024-10-03,307.75
2024,4856,2024-10-30,4000
2024,4865,2024-10-30,3000
2024,4792,2024-10-23,328.2
2024,4811,2024-10-25,79.79
2024,4810,2024-10-25,79.79
2024,4708,2024-10-16,488.6
2024,4977,2024-10-31,3000
2024,4552,2024-10-03,307.75
2024,5106,2024-11-13,959
2024,5175,2024-11-19,1927.48
2024,5133,2024-11-14,79.79
2024,5100,2024-11-13,5964
2024,5255,2024-11-26,593.3
2024,5180,2024-11-19,1425.18
2024,5132,2024-11-14,79.79
2024,5001,2024-11-01,79.79
2024,5134,2024-11-14,79.79
2024,5160,2024-11-19,79.79
2024,5817,2024-12-27,79.79
2024,5596,2024-12-13,79.79
2024,5816,2024-12-27,79.79
2024,5425,2024-12-03,79.79
2024,5737,2024-12-19,79.79
2024,5831,2024-12-30,79.79
2024,5487,2024-12-06,540.95
2024,5587,2024-12-12,540.95
2024,5595,2024-12-13,79.79
