anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,895,2025-01-30,36241.71
2025,1029,2025-01-30,21923.82
2025,1048,2025-01-30,220286.28
2025,1184,2025-02-05,734.23
2025,1789,2025-02-27,237683.71
2025,1839,2025-02-27,13920.73
2025,1670,2025-02-27,10312.28
2025,2342,2025-03-28,1146.57
2025,2473,2025-03-28,157343.71
2025,2440,2025-03-28,4859.93
2025,3141,2025-04-29,2513.01
2025,3018,2025-04-29,1454.73
2025,3082,2025-04-29,152737.04
2025,3763,2025-05-29,169100.36
2025,3861,2025-05-29,1545.76
2025,4581,2025-06-26,561.15
2025,4338,2025-06-26,201.07
2025,4350,2025-06-26,10447.9
2025,4448,2025-06-26,1870.5
2025,4545,2025-06-26,172419.43
2025,4761,2025-07-10,31153.38
2025,5262,2025-07-30,169505.82
2025,4759,2025-07-10,53601.18
2025,5167,2025-07-30,846.92
2025,5253,2025-07-30,5314.72
2025,5863,2025-08-28,183683.43
2025,5785,2025-08-28,8407.27
2025,5855,2025-08-28,2888.41
2025,6453,2025-09-29,11040.1
2025,6589,2025-09-29,173126.71
2025,6588,2025-09-29,6591.17
2025,7160,2025-10-30,169625.33
2025,7152,2025-10-30,9628.11
2025,7035,2025-10-30,3812.24
2025,7596,2025-11-27,17385.16
2025,7670,2025-11-27,162239.66
2025,7611,2025-11-27,8811.92
2025,7767,2025-11-27,5854.16
2025,7944,2025-12-10,333.99
2025,8080,2025-12-18,28021.09
2025,8138,2025-12-18,7792.62
2025,8151,2025-12-18,152944.76
2025,7968,2025-12-10,989.28
2025,7949,2025-12-10,29384.08
2025,7930,2025-12-10,53431.79
