anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,1001,2024-01-30,461000
2024,181,2024-01-02,207000
2024,107,2024-01-02,461000
2024,234,2024-01-02,10087.68
2024,618,2024-01-09,96.62
2024,391,2024-01-03,551092.56
2024,220,2024-01-02,4840.38
2024,233,2024-01-02,316346.35
2024,504,2024-01-04,73991.4
2024,503,2024-01-04,341239.36
2024,402,2024-01-03,21000
2024,651,2024-01-12,37000
2024,911,2024-01-30,445596.45
2024,608,2024-01-08,237650
2024,219,2024-01-02,33223.2
2024,607,2024-01-08,43000
2024,681,2024-01-16,31800
2024,652,2024-01-12,46200
2024,649,2024-01-11,259584
2024,178,2024-01-02,195160
2024,1244,2024-02-09,123.35
2024,1164,2024-02-06,30000
2024,1317,2024-02-14,308850
2024,1238,2024-02-09,50000
2024,1459,2024-02-22,12950
2024,1538,2024-02-28,472000
2024,1530,2024-02-28,378265.62
2024,1493,2024-02-26,184800
2024,1361,2024-02-16,123.35
2024,1283,2024-02-12,501604.24
2024,1243,2024-02-09,251.71
2024,1273,2024-02-12,21200
2024,1239,2024-02-09,69750
2024,1360,2024-02-16,1297.19
2024,1770,2024-03-01,1263681
2024,2209,2024-03-26,39.9
2024,1832,2024-03-05,77057.98
2024,1876,2024-03-06,99.64
2024,1767,2024-03-01,139500
2024,1875,2024-03-06,9747.67
2024,1769,2024-03-01,252683
2024,1940,2024-03-08,3000000
2024,2002,2024-03-13,15750
2024,2043,2024-03-14,472000
2024,2003,2024-03-13,451250
2024,2182,2024-03-26,183000
2024,2210,2024-03-26,99.64
2024,2469,2024-04-02,86000
2024,2889,2024-04-23,119800
2024,2924,2024-04-24,375750
2024,2670,2024-04-12,1416000
2024,2596,2024-04-10,169750
2024,2971,2024-04-26,93000
2024,2868,2024-04-23,63600
2024,3312,2024-05-07,99.64
2024,3564,2024-05-23,99.64
2024,3610,2024-05-28,314750
2024,3559,2024-05-23,129000
2024,3450,2024-05-15,99.64
2024,3566,2024-05-23,99.64
2024,3627,2024-05-29,508819.04
2024,3346,2024-05-09,63600
2024,3376,2024-05-10,2786532
2024,3605,2024-05-28,139500
2024,3401,2024-05-13,90000
2024,3565,2024-05-23,99.64
2024,4366,2024-06-27,169750
2024,4691,2024-07-03,212000
2024,4820,2024-07-11,278700
2024,5116,2024-07-30,178800
2024,4766,2024-07-08,99.64
2024,5090,2024-07-29,178800
2024,4819,2024-07-11,3750
2024,4936,2024-07-18,93000
2024,4575,2024-07-01,137200
2024,4972,2024-07-19,67500
2024,4927,2024-07-17,99.64
2024,6098,2024-08-29,99.64
2024,5415,2024-08-07,99.64
2024,5367,2024-08-05,99.64
2024,5801,2024-08-26,99.64
2024,5399,2024-08-06,41980
2024,6099,2024-08-29,99.64
2024,5403,2024-08-06,150000
2024,5363,2024-08-02,50000
2024,5542,2024-08-08,169750
2024,5578,2024-08-13,6112.18
2024,6230,2024-09-09,47000
2024,6150,2024-09-03,99.64
2024,6542,2024-09-25,30000
2024,6294,2024-09-11,99.64
2024,6151,2024-09-03,99.64
2024,6272,2024-09-10,99.64
2024,6400,2024-09-16,14051.97
2024,6177,2024-09-05,99.64
2024,6271,2024-09-10,99.64
2024,6270,2024-09-10,2400
2024,6473,2024-09-19,99.64
2024,6426,2024-09-17,99.64
2024,6967,2024-10-14,10500
2024,6825,2024-10-03,91500
2024,7114,2024-10-23,53500
2024,7116,2024-10-23,21500
2024,6826,2024-10-03,42234.74
2024,7439,2024-10-31,99450
2024,6915,2024-10-09,9900
2024,6797,2024-10-01,51000
2024,6966,2024-10-14,34000
2024,7174,2024-10-28,61100
2024,6800,2024-10-01,7500
2024,7113,2024-10-23,10500
2024,7115,2024-10-23,52596
2024,8480,2024-12-17,18969.21
2024,8460,2024-12-17,99.64
2024,8364,2024-12-09,79.79
2024,8366,2024-12-09,99.64
2024,8370,2024-12-09,190772.33
2024,8587,2024-12-19,180000
