anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2026,909,2026-01-28,173.44
2026,910,2026-01-28,7721.79
2026,30,2026-01-02,1000000
2026,899,2026-01-28,117.66
2026,1133,2026-01-30,433.22
2026,10,2026-01-02,4000
2026,23,2026-01-02,700000
2026,1036,2026-01-29,160.8
2026,655,2026-01-14,2000
2026,24,2026-01-02,50000
2026,902,2026-01-28,3188.52
2026,661,2026-01-14,2000
2026,447,2026-01-07,1459.6
2026,448,2026-01-07,45
2026,905,2026-01-28,7300
2026,900,2026-01-28,170.35
2026,907,2026-01-28,9207.81
2026,903,2026-01-28,2400
2026,446,2026-01-07,13.2
2026,809,2026-01-21,36.8
2026,906,2026-01-28,513.64
2026,1131,2026-01-30,1347.3
2026,449,2026-01-07,9390.84
2026,800,2026-01-20,50000
2026,904,2026-01-28,2796.85
2026,901,2026-01-28,1831.03
2026,1132,2026-01-30,206.11
2026,908,2026-01-28,520.32
2026,765,2026-01-20,39.8
2026,733,2026-01-19,2312400
2026,33,2026-01-02,50000
2026,259,2026-01-02,592000
2026,898,2026-01-28,165.37
2026,445,2026-01-07,188.08
2026,1634,2026-02-26,159
2026,1360,2026-02-13,64.75
2026,1379,2026-02-18,53.94
2026,1362,2026-02-13,5.5
2026,1383,2026-02-18,2827.14
2026,1402,2026-02-19,60000
2026,1346,2026-02-12,34.8
2026,1344,2026-02-12,14.76
2026,1359,2026-02-13,365.62
2026,1309,2026-02-10,3954.32
2026,1363,2026-02-13,20.22
2026,1361,2026-02-13,2.23
2026,1366,2026-02-13,665.92
2026,1345,2026-02-12,38.04
2026,1368,2026-02-13,86.57
2026,1364,2026-02-13,14.93
2026,1384,2026-02-18,445.02
2026,1367,2026-02-13,1142.98
2026,1365,2026-02-13,21.28
2026,1308,2026-02-10,161.77
2026,1385,2026-02-18,68.83
2026,1386,2026-02-18,5495.08
2026,2144,2026-03-26,241.6
2026,2143,2026-03-26,3781.74
2026,2122,2026-03-25,164.84
2026,1890,2026-03-10,430
2026,2477,2026-03-30,316.14
2026,1887,2026-03-10,2605.48
2026,1881,2026-03-10,1559.13
2026,1891,2026-03-10,6240
2026,2352,2026-03-30,408.68
2026,2478,2026-03-30,305.33
2026,1759,2026-03-03,25.76
2026,2491,2026-03-30,9680.13
2026,1886,2026-03-10,6312.76
2026,2134,2026-03-26,264.13
2026,2135,2026-03-26,246.28
2026,1761,2026-03-03,1203.8
2026,1762,2026-03-03,240.04
2026,2140,2026-03-26,159.04
2026,1883,2026-03-10,323.2
2026,2486,2026-03-30,3900
2026,2482,2026-03-30,1645
2026,2137,2026-03-26,6352.55
2026,2480,2026-03-30,160.37
2026,2114,2026-03-24,232.98
2026,2353,2026-03-30,305.23
2026,2141,2026-03-26,267.93
2026,1892,2026-03-10,3361.98
2026,2355,2026-03-30,155.98
2026,2490,2026-03-30,2473.66
2026,2133,2026-03-26,6220.7
2026,2136,2026-03-26,166.1
2026,2138,2026-03-26,203.17
2026,1880,2026-03-10,240.04
2026,2479,2026-03-30,6329.69
2026,2139,2026-03-26,56.97
2026,2123,2026-03-25,158.12
2026,1760,2026-03-03,1141.82
2026,1882,2026-03-10,231.77
2026,2145,2026-03-26,346.88
2026,2327,2026-03-30,6723.96
2026,2261,2026-03-30,97824
2026,2489,2026-03-30,6639.88
2026,2445,2026-03-30,159
2026,1884,2026-03-10,287.41
2026,2487,2026-03-30,7797.33
2026,2481,2026-03-30,161.11
2026,2476,2026-03-30,272.22
2026,2124,2026-03-25,212.37
2026,2354,2026-03-30,355.01
2026,2862,2026-04-14,1692.08
2026,2821,2026-04-13,2587.3
2026,2686,2026-04-08,506.58
2026,2824,2026-04-13,141.9
2026,2827,2026-04-13,1728.43
2026,2814,2026-04-13,1650.47
2026,2820,2026-04-13,8.08
2026,2828,2026-04-13,340.04
2026,2811,2026-04-13,420.25
2026,2863,2026-04-14,68.66
2026,2818,2026-04-13,32
2026,2685,2026-04-08,330
2026,2681,2026-04-08,274.43
2026,2816,2026-04-13,1091.09
2026,2815,2026-04-13,370.98
2026,2695,2026-04-08,1459.39
2026,2829,2026-04-13,4306.81
2026,2696,2026-04-08,518.97
2026,2698,2026-04-08,2175.5
2026,2858,2026-04-14,7.98
2026,2684,2026-04-08,157.36
2026,2823,2026-04-13,4047.01
2026,2826,2026-04-13,24
2026,2859,2026-04-14,135
2026,2813,2026-04-13,548.64
2026,2861,2026-04-14,258.76
2026,2693,2026-04-08,55025.76
2026,2810,2026-04-13,209.65
2026,2819,2026-04-13,17152.1
2026,2694,2026-04-08,16136.32
2026,2680,2026-04-08,276.63
2026,2817,2026-04-13,360
2026,2812,2026-04-13,420.25
2026,2860,2026-04-14,436.67
2026,2683,2026-04-08,92.5
2026,2857,2026-04-14,86.86
2026,2697,2026-04-08,1190.4
2026,2682,2026-04-08,163.77
2026,2825,2026-04-13,129.6
2026,2822,2026-04-13,39.75
2026,2856,2026-04-14,374.45
2026,2899,2026-04-16,515
