anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,9,2023-01-02,2146035.25
2023,2,2023-01-02,45556.2
2023,7,2023-01-02,3930442.12
2023,8,2023-01-02,2146035.25
2023,3,2023-01-02,82278.3
2023,17,2023-02-10,6899.83
2023,23,2023-04-25,395765.04
2023,24,2023-04-25,6615
2023,29,2023-07-14,3351628.8
2023,30,2023-07-14,2670581.11
2023,34,2023-08-29,50257.65
2023,33,2023-08-29,50257.65
2023,36,2023-09-15,6900
2023,37,2023-09-15,98000
2023,42,2023-11-23,786583.24
2023,45,2023-12-14,2500
2023,47,2023-12-22,556.73
2023,44,2023-12-14,5710
