anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,3,2025-01-02,200000
2025,16,2025-01-02,297540.98
2025,10,2025-01-02,20530.98
2025,9,2025-01-02,4777.5
2025,5,2025-01-02,1744.92
2025,18,2025-01-02,7109.93
2025,8,2025-01-02,284257.63
2025,6,2025-01-02,14950
2025,1,2025-01-02,3000
2025,15,2025-01-02,36256.46
2025,14,2025-01-02,2379.96
2025,11,2025-01-02,2286.5
2025,13,2025-01-02,84800
2025,2,2025-01-02,100000
2025,12,2025-01-02,552243.48
2025,7,2025-01-02,872.06
2025,17,2025-01-02,738.49
2025,19,2025-01-29,40188.55
2025,22,2025-02-21,16698.84
2025,23,2025-02-26,82728
2025,21,2025-02-21,400
2025,26,2025-03-20,1646.4
2025,27,2025-03-20,1377.1
2025,25,2025-03-20,3607.77
2025,24,2025-03-14,2950
2025,29,2025-04-15,6360
2025,30,2025-04-22,12468
2025,34,2025-04-28,570
2025,28,2025-04-08,1585.2
2025,33,2025-04-28,1030
2025,32,2025-04-25,499.99
2025,31,2025-04-22,12418
2025,37,2025-05-05,96373.57
2025,39,2025-05-12,70.61
2025,36,2025-05-05,110.5
2025,35,2025-05-05,342.47
2025,38,2025-05-09,40.89
2025,40,2025-05-13,90.03
2025,43,2025-06-12,3020.19
2025,44,2025-06-25,5250
2025,42,2025-06-10,350000
2025,51,2025-07-29,20000
2025,52,2025-07-29,50000
2025,46,2025-07-09,46537.96
2025,50,2025-07-28,25000
2025,47,2025-07-11,15000
2025,49,2025-07-24,17493.79
2025,54,2025-08-13,31922.6
2025,58,2025-08-22,1589.6
2025,57,2025-08-22,2197.29
2025,53,2025-08-08,78500
2025,64,2025-09-03,5640
2025,71,2025-09-09,25563.84
2025,67,2025-09-04,43.31
2025,68,2025-09-08,17000
2025,73,2025-09-12,147.33
2025,75,2025-09-12,73.54
2025,74,2025-09-12,3591
2025,65,2025-09-03,2160
2025,69,2025-09-08,12495
2025,60,2025-09-02,6600
2025,66,2025-09-03,2520
2025,97,2025-10-27,120
2025,87,2025-10-23,727.14
2025,100,2025-10-29,6720
2025,79,2025-10-08,738.46
2025,78,2025-10-02,5670
2025,90,2025-10-27,7520
2025,93,2025-10-27,120
2025,104,2025-10-31,10887.3
2025,89,2025-10-27,5640
2025,105,2025-10-31,1680
2025,84,2025-10-16,320000
2025,103,2025-10-31,3295.2
2025,92,2025-10-27,258
2025,95,2025-10-27,120
2025,80,2025-10-09,12500
2025,102,2025-10-31,38835.65
2025,107,2025-10-31,13614
2025,106,2025-10-31,4095
2025,99,2025-10-27,120
2025,83,2025-10-14,183000
2025,98,2025-10-27,120
2025,82,2025-10-10,11109.1
2025,86,2025-10-22,6497.01
2025,91,2025-10-27,60000
2025,88,2025-10-27,1007.22
2025,94,2025-10-27,120
2025,77,2025-10-02,1440
2025,96,2025-10-27,120
2025,111,2025-11-14,200000
2025,109,2025-11-07,79000
2025,112,2025-11-19,480
2025,114,2025-11-21,1309.2
2025,125,2025-11-21,500
2025,115,2025-11-21,540
2025,110,2025-11-14,350000
2025,113,2025-11-19,2880
2025,117,2025-11-21,12000
2025,124,2025-11-21,500
2025,151,2025-12-23,64564.15
2025,150,2025-12-23,20202
2025,143,2025-12-11,4085.87
2025,128,2025-12-03,6744.24
