anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,670,2024-01-30,70514.9
2024,681,2024-01-30,150000
2024,453,2024-01-30,22624.9
2024,687,2024-01-30,2118
2024,640,2024-01-30,164876.63
2024,1102,2024-02-28,1059
2024,1032,2024-02-28,4144.84
2024,1089,2024-02-28,212229.49
2024,1058,2024-02-28,17996.67
2024,1101,2024-02-28,150000
2024,1489,2024-03-27,14820.52
2024,1536,2024-03-27,220674.39
2024,1482,2024-03-27,5321.67
2024,1550,2024-03-27,1059
2024,1549,2024-03-27,150000
2024,1488,2024-03-27,1723.85
2024,1507,2024-03-27,6534.56
2024,1992,2024-04-29,1147.25
2024,1990,2024-04-29,150000
2024,1944,2024-04-29,4814.36
2024,2004,2024-04-29,233291.3
2024,2034,2024-04-29,10128.49
2024,2449,2024-05-29,5453.43
2024,2483,2024-05-29,150000
2024,2442,2024-05-29,5790.31
2024,2480,2024-05-29,272320.41
2024,2177,2024-05-09,784.93
2024,2528,2024-05-29,14975.06
2024,2477,2024-05-29,970.75
2024,2984,2024-06-27,12555.25
2024,2646,2024-06-10,176.5
2024,2996,2024-06-27,1235.5
2024,2954,2024-06-27,249824.9
2024,2935,2024-06-27,9119.35
2024,3006,2024-06-27,150000
2024,3073,2024-07-03,195879.88
2024,3498,2024-07-31,25975.09
2024,3470,2024-07-31,126891.27
2024,3413,2024-07-30,12673.67
2024,3403,2024-07-30,1363.06
2024,3457,2024-07-31,150000
2024,3961,2024-08-29,35562.5
2024,3932,2024-08-29,94.04
2024,3633,2024-08-08,12633.14
2024,3981,2024-08-29,150000
2024,3992,2024-08-29,157015.18
2024,3913,2024-08-29,2402.17
2024,3907,2024-08-29,11597.93
2024,3671,2024-08-08,1322.49
2024,4452,2024-09-27,24371.25
2024,4390,2024-09-27,1355.88
2024,4429,2024-09-27,150000
2024,4392,2024-09-27,6431.12
2024,4484,2024-09-27,231767.53
2024,4903,2024-10-30,16442.91
2024,4896,2024-10-30,150000
2024,4915,2024-10-30,235776.91
2024,4873,2024-10-30,10788.12
2024,5283,2024-11-28,1043.99
2024,5336,2024-11-28,17811.21
2024,5297,2024-11-28,14869.52
2024,5364,2024-11-28,243441.01
2024,5331,2024-11-28,150000
2024,5458,2024-12-05,212246.49
2024,5673,2024-12-19,394811.51
2024,5734,2024-12-19,27600.29
2024,5702,2024-12-19,2236.16
2024,5448,2024-12-05,758.06
2024,5657,2024-12-19,30340.95
