anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,1363,2024-02-19,100000
2024,1364,2024-02-19,985615
2024,1882,2024-03-06,66424.8
2024,2054,2024-03-15,26306.83
2024,2053,2024-03-15,129754
2024,3090,2024-04-29,370917.75
2024,3091,2024-04-29,720000
2024,4117,2024-06-17,111490
2024,4912,2024-07-17,1505792.84
2024,7599,2024-11-11,35994.16
2024,7597,2024-11-11,99000
2024,7588,2024-11-11,91200
2024,7591,2024-11-11,53700
2024,7593,2024-11-11,34215
2024,7598,2024-11-11,99000
2024,7596,2024-11-11,37224.9
