anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,6,2024-01-02,5418.97
2024,11,2024-01-05,5194
2024,7,2024-01-05,22499
2024,21,2024-01-05,20370
2024,20,2024-01-05,12140
2024,23,2024-01-05,6399
2024,26,2024-01-30,11460
2024,30,2024-03-05,8317.7
2024,41,2024-06-28,384437
2024,46,2024-08-28,17400
2024,66,2024-10-16,50000
2024,48,2024-10-16,10000
2024,54,2024-10-16,3999
2024,69,2024-10-16,12051
2024,59,2024-10-16,24756
2024,52,2024-10-16,6300
2024,65,2024-10-16,7378.2
2024,74,2024-10-16,20000
2024,71,2024-10-16,3813
