anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,825,2025-01-27,79.79
2025,826,2025-01-27,170.97
2025,1266,2025-02-10,170.97
2025,1249,2025-02-10,79.79
2025,2313,2025-03-27,79.79
2025,2088,2025-03-12,170.97
2025,2324,2025-03-28,170.97
2025,2323,2025-03-28,79.79
2025,1935,2025-03-05,170.97
2025,2954,2025-04-25,79.79
2025,2953,2025-04-25,170.97
2025,5081,2025-07-25,9806.31
2025,5983,2025-09-01,170.97
2025,5984,2025-09-01,79.79
2025,7012,2025-10-29,258
2025,6940,2025-10-21,258
2025,7013,2025-10-29,120
2025,6942,2025-10-21,120
2025,6821,2025-10-14,344
2025,6820,2025-10-14,155
2025,6941,2025-10-21,120
