anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,491,2025-01-16,66.4
2025,725,2025-01-28,44399.75
2025,745,2025-01-28,1000
2025,418,2025-01-15,22721.46
2025,63,2025-01-07,120000
2025,610,2025-01-22,18486.9
2025,437,2025-01-15,24499.66
2025,844,2025-01-30,5333
2025,412,2025-01-15,584.85
2025,20,2025-01-02,1050000
2025,737,2025-01-28,1000
2025,598,2025-01-22,9794.08
2025,93,2025-01-08,556.94
2025,433,2025-01-15,13486.74
2025,410,2025-01-15,2882
2025,377,2025-01-14,470
2025,242,2025-01-08,25449.76
2025,29,2025-01-02,25000
2025,609,2025-01-22,113328.96
2025,207,2025-01-08,11208
2025,206,2025-01-08,22416
2025,378,2025-01-14,11428
2025,27,2025-01-02,25000
2025,243,2025-01-08,11498.21
2025,135,2025-01-08,9000
2025,248,2025-01-08,8501.79
2025,413,2025-01-15,9150
2025,734,2025-01-28,5159
2025,645,2025-01-22,8651.42
2025,599,2025-01-22,1408.35
2025,379,2025-01-14,100000
2025,28,2025-01-02,150000
2025,736,2025-01-28,2000
2025,247,2025-01-08,21211.58
2025,597,2025-01-22,5351.73
2025,208,2025-01-08,22416
2025,408,2025-01-15,10679.88
2025,411,2025-01-15,20969.8
2025,409,2025-01-15,1480
2025,414,2025-01-15,1068
2025,119,2025-01-08,44365.01
2025,739,2025-01-28,370
2025,13,2025-01-02,395000
2025,821,2025-01-30,3167.16
2025,172,2025-01-08,418593.8
2025,432,2025-01-15,1353.26
2025,723,2025-01-28,10000
2025,204,2025-01-08,22416
2025,730,2025-01-28,2000
2025,365,2025-01-14,11301.66
2025,608,2025-01-22,55250.22
2025,368,2025-01-14,17861.45
2025,480,2025-01-16,8984.3
2025,419,2025-01-15,13178.54
2025,463,2025-01-16,1015.7
2025,729,2025-01-28,3000
2025,367,2025-01-14,18189.75
2025,387,2025-01-14,101463.66
2025,439,2025-01-15,1470
2025,631,2025-01-22,44893.63
2025,744,2025-01-28,1500
2025,621,2025-01-22,51259.56
2025,407,2025-01-15,4974.5
2025,366,2025-01-14,4697.54
2025,1358,2025-02-25,28778.16
2025,1256,2025-02-20,1000
2025,1522,2025-02-27,6433.98
2025,1011,2025-02-06,133492.2
2025,1234,2025-02-20,7420
2025,1010,2025-02-06,44497.4
2025,1283,2025-02-21,2180
2025,1549,2025-02-28,778520.79
2025,1315,2025-02-24,1671.4
2025,1255,2025-02-20,1000
2025,1247,2025-02-20,3750
2025,1409,2025-02-27,49837.28
2025,1261,2025-02-20,10000
2025,1411,2025-02-27,11377.4
2025,1230,2025-02-20,8701.05
2025,1221,2025-02-20,6150
2025,1529,2025-02-27,1687.03
2025,1262,2025-02-20,5014.92
2025,1484,2025-02-27,1493.32
2025,1324,2025-02-24,2840
2025,1211,2025-02-20,52395.3
2025,1012,2025-02-06,44497.4
2025,1222,2025-02-20,6478
2025,1231,2025-02-20,21.45
2025,1238,2025-02-20,23828.55
2025,1208,2025-02-20,14630
2025,1226,2025-02-20,1615.2
2025,1227,2025-02-20,4240
2025,1229,2025-02-20,1530
2025,1191,2025-02-20,1200000
2025,1252,2025-02-20,20233.07
2025,1228,2025-02-20,15.75
2025,2001,2025-03-28,800
2025,1868,2025-03-21,25920
2025,1735,2025-03-13,45.1
2025,1897,2025-03-24,7420
2025,2059,2025-03-28,5371.79
2025,1712,2025-03-13,1767.75
2025,1743,2025-03-13,902
2025,1747,2025-03-13,2428.05
2025,1749,2025-03-13,220500
2025,1614,2025-03-06,21968.2
2025,1726,2025-03-13,224.81
2025,1898,2025-03-24,5100
2025,1741,2025-03-13,4496.13
2025,1720,2025-03-13,124.9
2025,1711,2025-03-13,1767.75
2025,2039,2025-03-28,4000
2025,1620,2025-03-06,129687
2025,1888,2025-03-24,3395
2025,1896,2025-03-24,10960
2025,1745,2025-03-13,35354.92
2025,1894,2025-03-24,1441
2025,1893,2025-03-24,14408
2025,1892,2025-03-24,2170
2025,1889,2025-03-24,8393
2025,1890,2025-03-24,25742.29
2025,1895,2025-03-24,26017
2025,1727,2025-03-13,224.81
2025,1626,2025-03-06,15630
2025,2409,2025-04-24,11164.4
2025,2394,2025-04-24,1240
2025,2392,2025-04-24,409.7
2025,2402,2025-04-24,24905.2
2025,2393,2025-04-24,1101.3
2025,2168,2025-04-04,6299.69
2025,2389,2025-04-24,220.15
2025,2398,2025-04-24,3474.4
2025,2561,2025-04-29,5926.27
2025,2405,2025-04-24,2770
2025,2401,2025-04-24,2225
2025,2404,2025-04-24,5100
2025,2204,2025-04-07,15279.13
2025,2427,2025-04-25,15652.65
2025,2218,2025-04-07,5536.67
2025,2391,2025-04-24,166.65
2025,2211,2025-04-07,766.49
2025,2289,2025-04-11,15774.8
2025,2395,2025-04-24,2147.4
2025,2577,2025-04-29,4800
2025,2396,2025-04-24,4019.8
2025,2390,2025-04-24,390
2025,2399,2025-04-24,16439.4
2025,2237,2025-04-08,39038.79
2025,2400,2025-04-24,11230
2025,3080,2025-05-29,5279.53
2025,2943,2025-05-22,3560
2025,2770,2025-05-12,25502.84
2025,2786,2025-05-12,149.7
2025,2793,2025-05-12,2161.5
2025,3063,2025-05-29,4267
2025,2788,2025-05-12,2040
2025,2778,2025-05-12,1917.49
2025,2781,2025-05-12,1340
2025,2787,2025-05-12,25250
2025,2790,2025-05-12,1240
2025,2782,2025-05-12,1310
2025,2767,2025-05-12,11125
2025,2780,2025-05-12,7288
2025,2784,2025-05-12,14688.39
2025,2791,2025-05-12,4580.4
2025,2668,2025-05-06,2475.9
2025,2944,2025-05-22,49383
2025,2699,2025-05-06,7328.25
2025,2662,2025-05-06,4369.22
2025,2946,2025-05-22,545
2025,2783,2025-05-12,5232
2025,2792,2025-05-12,3123
2025,2789,2025-05-12,1749.5
2025,2681,2025-05-06,8999.55
2025,2961,2025-05-23,545
2025,2675,2025-05-06,2520.23
2025,2768,2025-05-12,22226
2025,2785,2025-05-12,1020
2025,2667,2025-05-06,11443.44
2025,2945,2025-05-22,201.12
2025,2947,2025-05-22,33029.5
2025,2779,2025-05-12,8282.51
2025,2670,2025-05-06,4093.65
2025,3176,2025-06-04,1485
2025,3187,2025-06-04,33182.51
2025,3607,2025-06-26,4721.44
2025,3174,2025-06-04,6303
2025,3175,2025-06-04,8876
2025,3186,2025-06-04,2025
2025,3266,2025-06-10,9756.12
2025,3356,2025-06-17,25920
2025,3645,2025-06-26,4400
2025,3374,2025-06-18,11743.85
2025,3177,2025-06-04,3650
2025,3205,2025-06-05,14326.45
2025,3173,2025-06-04,6294
2025,4062,2025-07-29,1050
2025,4054,2025-07-28,535.41
2025,4075,2025-07-29,1029
2025,4055,2025-07-28,522.29
2025,3875,2025-07-11,14080
2025,4056,2025-07-28,402.19
2025,4074,2025-07-29,1544
2025,3806,2025-07-09,40000
2025,4073,2025-07-29,13261.46
2025,3973,2025-07-18,12700
2025,3878,2025-07-11,8700
2025,3802,2025-07-09,20000
2025,3874,2025-07-11,661
2025,4047,2025-07-28,280.04
2025,4051,2025-07-28,1853.67
2025,3877,2025-07-11,2867
2025,3876,2025-07-11,3010
2025,4053,2025-07-28,488.91
2025,4163,2025-07-30,2718.17
2025,4197,2025-07-30,5413.33
2025,4063,2025-07-29,10103.55
2025,3959,2025-07-18,14598.6
2025,4082,2025-07-29,4165.54
2025,3805,2025-07-09,60000
2025,4401,2025-08-13,232.3
2025,4734,2025-08-28,3890
2025,4540,2025-08-21,55500
2025,4405,2025-08-13,12000
2025,4631,2025-08-27,688.25
2025,4408,2025-08-13,272
2025,4404,2025-08-13,530
2025,4403,2025-08-13,2107.68
2025,4338,2025-08-08,26.15
2025,4336,2025-08-08,22.48
2025,4621,2025-08-27,40000
2025,4402,2025-08-13,238.8
2025,4694,2025-08-28,4800
2025,4337,2025-08-08,24.05
2025,4407,2025-08-13,246.5
2025,4806,2025-09-03,1600
2025,4903,2025-09-09,5366.4
2025,4906,2025-09-09,3177.3
2025,4951,2025-09-10,155.93
2025,5036,2025-09-16,15000
2025,4801,2025-09-03,830.3
2025,4904,2025-09-09,139.5
2025,4856,2025-09-04,5131.56
2025,4811,2025-09-03,12940
2025,4905,2025-09-09,5490
2025,4902,2025-09-09,3676.2
2025,5088,2025-09-19,70000
2025,4796,2025-09-03,28467
2025,4898,2025-09-09,600
2025,4825,2025-09-04,617.92
2025,4883,2025-09-08,6290
2025,4900,2025-09-09,2528
2025,4857,2025-09-04,1260
2025,5133,2025-09-25,44284.51
2025,4829,2025-09-04,2488.91
2025,5201,2025-09-29,4000
2025,4828,2025-09-04,2674.05
2025,4901,2025-09-09,622.6
2025,4939,2025-09-10,19561.45
2025,4855,2025-09-04,9610
2025,5211,2025-09-29,3175.35
2025,5134,2025-09-25,99496.31
2025,4810,2025-09-03,399
2025,4814,2025-09-03,10.99
2025,4858,2025-09-04,3432
2025,4826,2025-09-04,1303.62
2025,4859,2025-09-04,15031.2
2025,5084,2025-09-19,15000
2025,5080,2025-09-19,12000
2025,4920,2025-09-10,3937.46
2025,4899,2025-09-09,3400
2025,4827,2025-09-04,1544.44
2025,5739,2025-10-29,2058
2025,5792,2025-10-30,29605.15
2025,5497,2025-10-15,30000
2025,5796,2025-10-30,7000
2025,5741,2025-10-29,43785.2
2025,5436,2025-10-10,6864
2025,5600,2025-10-21,21000
2025,5504,2025-10-15,30000
2025,5660,2025-10-23,13035.15
2025,5603,2025-10-21,3082
2025,5748,2025-10-29,10000
2025,5437,2025-10-10,3132
2025,5954,2025-10-30,6150.25
2025,5435,2025-10-10,238.8
2025,5607,2025-10-21,32918
2025,5434,2025-10-10,3950
2025,5433,2025-10-10,32662
2025,5599,2025-10-21,8666.5
2025,6022,2025-10-31,3234.3
2025,6002,2025-10-30,3350
2025,5749,2025-10-29,5000
2025,5791,2025-10-30,100000
2025,5601,2025-10-21,5552
2025,5340,2025-10-02,20715.9
2025,5781,2025-10-30,11007.75
2025,6113,2025-11-06,1860
2025,6403,2025-11-27,3900
2025,6323,2025-11-25,1483
2025,6272,2025-11-19,40000
2025,6183,2025-11-11,12688
2025,6339,2025-11-26,1525.6
2025,6368,2025-11-27,425.52
2025,6175,2025-11-11,17500
2025,6344,2025-11-26,42342.58
2025,6179,2025-11-11,3000
2025,6112,2025-11-06,1690
2025,6390,2025-11-27,5223.94
2025,6289,2025-11-19,11498.21
2025,6283,2025-11-19,21211.58
2025,6184,2025-11-11,12012
2025,6203,2025-11-12,2320
2025,6093,2025-11-05,1763
2025,6288,2025-11-19,25449.76
2025,6202,2025-11-12,761.36
2025,6114,2025-11-06,3300
2025,6284,2025-11-19,8501.79
2025,6421,2025-11-27,4273.52
2025,6174,2025-11-11,3750
2025,6797,2025-12-18,5386.53
2025,6772,2025-12-18,4800
2025,6706,2025-12-17,9758.1
2025,6939,2025-12-30,7416.2
