anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,512,2025-01-17,135834.69
2025,506,2025-01-17,84286.56
2025,508,2025-01-17,38603.22
2025,515,2025-01-17,35790.01
2025,514,2025-01-17,23770.09
2025,517,2025-01-17,6300
2025,504,2025-01-17,87228.16
2025,496,2025-01-17,5145
2025,509,2025-01-17,28672
2025,505,2025-01-17,5362.02
2025,510,2025-01-17,7560
2025,511,2025-01-17,33814.08
2025,507,2025-01-17,15598.8
2025,500,2025-01-17,56613
2025,493,2025-01-17,180210
2025,499,2025-01-17,20392
2025,501,2025-01-17,15300
2025,554,2025-01-22,11864
2025,495,2025-01-17,11400
2025,494,2025-01-17,20285
2025,221,2025-01-08,200000
2025,502,2025-01-17,4503.2
2025,513,2025-01-17,9541
2025,503,2025-01-17,14104.6
2025,497,2025-01-17,371.6
2025,516,2025-01-17,191.94
2025,498,2025-01-17,37474
2025,1167,2025-02-19,1274.4
2025,1176,2025-02-19,27515
2025,1180,2025-02-19,16333.8
2025,1163,2025-02-19,3150
2025,1162,2025-02-19,19363.99
2025,1178,2025-02-19,39180
2025,1179,2025-02-19,110202.06
2025,1165,2025-02-19,42672
2025,1172,2025-02-19,97662.2
2025,1173,2025-02-19,27214.1
2025,1161,2025-02-19,5040
2025,1177,2025-02-19,567.4
2025,1174,2025-02-19,4222
2025,1171,2025-02-19,14011.99
2025,1175,2025-02-19,25500
2025,1170,2025-02-19,29364.82
2025,1169,2025-02-19,35350.18
2025,1164,2025-02-19,30892.44
2025,1168,2025-02-19,69203.6
2025,1166,2025-02-19,45344.57
2025,1923,2025-03-24,126437.32
2025,1908,2025-03-24,60958.09
2025,1912,2025-03-24,75789
2025,1918,2025-03-24,10200
2025,1906,2025-03-24,2520
2025,1925,2025-03-24,26669
2025,1792,2025-03-18,6650
2025,1924,2025-03-24,4668
2025,1920,2025-03-24,3018
2025,1922,2025-03-24,71540
2025,1909,2025-03-24,38080
2025,1921,2025-03-24,1470
2025,1629,2025-03-06,4740
2025,1926,2025-03-24,126010
2025,1911,2025-03-24,43628.78
2025,1916,2025-03-24,63921.29
2025,1914,2025-03-24,45795.72
2025,1917,2025-03-24,15390
2025,1910,2025-03-24,6580.6
2025,1907,2025-03-24,1587.98
2025,1915,2025-03-24,2480
2025,1913,2025-03-24,62135.88
2025,1919,2025-03-24,45701
2025,2273,2025-04-09,2080.77
2025,2266,2025-04-09,45969.02
2025,2260,2025-04-09,5040
2025,2277,2025-04-09,50665
2025,2268,2025-04-09,106826.6
2025,2271,2025-04-09,3950
2025,2275,2025-04-09,144448.93
2025,2272,2025-04-09,5100
2025,2274,2025-04-09,61600
2025,2263,2025-04-09,33710.88
2025,2267,2025-04-09,1986.51
2025,2261,2025-04-09,22284
2025,2262,2025-04-09,7290.1
2025,2270,2025-04-09,57776.1
2025,2265,2025-04-09,65955
2025,2269,2025-04-09,1240
2025,2264,2025-04-09,53760
2025,2276,2025-04-09,91698.5
2025,2910,2025-05-21,30600
2025,2904,2025-05-21,10055.08
2025,2909,2025-05-21,7900
2025,2913,2025-05-21,65300
2025,2903,2025-05-21,99246.52
2025,2911,2025-05-21,24252
2025,2897,2025-05-21,17221.49
2025,2900,2025-05-21,5000
2025,2898,2025-05-21,47712
2025,2899,2025-05-21,46683.6
2025,2905,2025-05-21,177
2025,2902,2025-05-21,19509
2025,2906,2025-05-21,4503.2
2025,2901,2025-05-21,64262.2
2025,2908,2025-05-21,41074.12
2025,2915,2025-05-21,2370
2025,2914,2025-05-21,134073.39
2025,2907,2025-05-21,191.94
2025,2912,2025-05-21,721.79
2025,3745,2025-07-07,35616
2025,3763,2025-07-07,2100
2025,3758,2025-07-07,151761.99
2025,3752,2025-07-07,30435.4
2025,3762,2025-07-07,11368
2025,3747,2025-07-07,1459.22
2025,3760,2025-07-07,343
2025,3759,2025-07-07,50466
2025,3756,2025-07-07,5745
2025,3750,2025-07-07,61995.87
2025,3751,2025-07-07,106816.53
2025,3755,2025-07-07,15300
2025,3749,2025-07-07,24150
2025,3757,2025-07-07,2549
2025,3744,2025-07-07,48188.5
2025,3761,2025-07-07,2334
2025,3753,2025-07-07,3720
2025,3748,2025-07-07,75191.5
2025,3754,2025-07-07,45868
2025,3746,2025-07-07,45968.84
2025,4292,2025-08-05,32200
2025,4295,2025-08-05,3950
2025,4300,2025-08-05,44492.53
2025,4297,2025-08-05,59261
2025,4291,2025-08-05,80147.7
2025,4289,2025-08-05,16396.96
2025,4288,2025-08-05,27216
2025,4299,2025-08-05,44927.47
2025,4293,2025-08-05,138049.6
2025,4301,2025-08-05,80694.75
2025,4287,2025-08-05,41690.26
2025,4303,2025-08-05,22097
2025,4298,2025-08-05,12374
2025,4290,2025-08-05,1990.8
2025,4296,2025-08-05,25500
2025,4294,2025-08-05,58067.25
2025,4302,2025-08-05,63458.78
2025,5272,2025-09-30,2640
2025,4963,2025-09-10,3950
2025,4973,2025-09-10,2100
2025,4952,2025-09-10,5994
2025,5273,2025-09-30,175
2025,4894,2025-09-09,9662.4
2025,4957,2025-09-10,55260
2025,4974,2025-09-10,5040
2025,4971,2025-09-10,41440
2025,4896,2025-09-09,6096
2025,4954,2025-09-10,3958.05
2025,4955,2025-09-10,604.37
2025,4966,2025-09-10,121586
2025,4962,2025-09-10,15300
2025,5270,2025-09-30,48000
2025,4967,2025-09-10,72811.8
2025,4968,2025-09-10,4147.71
2025,4961,2025-09-10,40591
2025,4960,2025-09-10,5098
2025,4897,2025-09-09,3449.85
2025,4970,2025-09-10,16396.96
2025,4969,2025-09-10,121095
2025,4958,2025-09-10,690.4
2025,4953,2025-09-10,1272.58
2025,4965,2025-09-10,2480
2025,4959,2025-09-10,2418
2025,4964,2025-09-10,50507.98
2025,5271,2025-09-30,10149
2025,4956,2025-09-10,99017.07
2025,4972,2025-09-10,15702.85
2025,4895,2025-09-09,8811
2025,5729,2025-10-29,23976
2025,5609,2025-10-21,655.2
2025,5715,2025-10-29,95592.31
2025,5612,2025-10-21,697.98
2025,5720,2025-10-29,2480
2025,5730,2025-10-29,74819.99
2025,5717,2025-10-29,55743
2025,5714,2025-10-29,2520
2025,5716,2025-10-29,103830
2025,5613,2025-10-21,702.6
2025,5726,2025-10-29,10380
2025,5721,2025-10-29,191.94
2025,5722,2025-10-29,58949.96
2025,5610,2025-10-21,1168.72
2025,5727,2025-10-29,634.58
2025,5734,2025-10-29,100150
2025,6020,2025-10-31,464.4
2025,5731,2025-10-29,78161.07
2025,5732,2025-10-29,126278.6
2025,5733,2025-10-29,31216.54
2025,5728,2025-10-29,3890
2025,5723,2025-10-29,30600
2025,5608,2025-10-21,52.02
2025,5719,2025-10-29,218608.15
2025,5725,2025-10-29,4588.2
2025,5735,2025-10-29,221895.41
2025,5611,2025-10-21,103.9
2025,5718,2025-10-29,2751.82
2025,5724,2025-10-29,54047.5
2025,6115,2025-11-06,542.65
