anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2026,467,2026-01-09,130.64
2026,240,2026-01-02,12714.71
2026,168,2026-01-02,1700000
2026,128,2026-01-02,300000
2026,241,2026-01-02,1712.01
2026,329,2026-01-02,40000
2026,1600,2026-02-26,6720.96
2026,1351,2026-02-13,17577.36
2026,1457,2026-02-23,218.25
2026,2179,2026-03-27,20255.39
2026,2180,2026-03-27,17341.99
2026,2529,2026-04-01,3953.74
2026,2756,2026-04-09,266.48
2026,2755,2026-04-09,1205.24
2026,2532,2026-04-01,945.74
2026,2546,2026-04-01,1101.23
2026,2603,2026-04-02,129.92
2026,2751,2026-04-09,181.45
2026,2530,2026-04-01,453.42
2026,2760,2026-04-09,63.74
2026,2752,2026-04-09,2760.6
