anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,602,2023-01-17,9539.88
2023,601,2023-01-17,605005.29
2023,599,2023-01-17,328944.36
2023,598,2023-01-17,113321.39
2023,600,2023-01-17,491201.67
2023,603,2023-01-17,21932.56
2023,597,2023-01-17,398178.98
2023,596,2023-01-17,1530725.94
2023,242,2023-01-02,60932.42
2023,268,2023-01-02,363543.3
2023,1078,2023-02-02,159265.31
2023,2499,2023-04-17,7139.14
2023,3117,2023-05-16,13275.96
2023,3118,2023-05-16,340363.38
2023,3643,2023-06-06,1156.68
2023,4395,2023-07-06,1532593.04
2023,5468,2023-08-29,11313.77
2023,7548,2023-11-30,50429.37
