anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,762,2023-01-24,432795
2023,583,2023-01-16,442887.86
2023,760,2023-01-24,35200
2023,295,2023-01-03,107327.59
2023,1045,2023-01-31,189509.27
2023,800,2023-01-26,231470
2023,233,2023-01-02,552580
2023,801,2023-01-26,119163.3
2023,1047,2023-01-31,2020289.76
2023,802,2023-01-26,61805.1
2023,782,2023-01-25,241692.15
2023,407,2023-01-09,10000000
2023,495,2023-01-13,8765000
2023,582,2023-01-16,150000
2023,790,2023-01-25,97020
2023,374,2023-01-05,85904.08
2023,1052,2023-01-31,46047
2023,763,2023-01-24,27750
2023,1048,2023-01-31,1000000
2023,761,2023-01-24,32984.1
2023,1389,2023-02-23,2000000
2023,1380,2023-02-22,1079490.71
2023,1965,2023-03-23,220932.76
2023,1784,2023-03-13,166323
2023,1976,2023-03-24,1370
2023,1620,2023-03-03,6082.56
2023,1701,2023-03-08,31490
2023,1977,2023-03-24,363948.39
2023,2469,2023-04-14,25766.5
2023,2531,2023-04-18,173432
2023,2471,2023-04-14,1465439.53
2023,2470,2023-04-14,24194.58
2023,2402,2023-04-12,447917.98
2023,2498,2023-04-17,1832.6
2023,2500,2023-04-17,41188.8
2023,2285,2023-04-05,15977.46
2023,2533,2023-04-18,12990.34
2023,2530,2023-04-18,4991.44
2023,2579,2023-04-20,214543.73
2023,2502,2023-04-17,11633.09
2023,2445,2023-04-13,8661.13
2023,3535,2023-05-31,900000
2023,3201,2023-05-19,18464.94
2023,4113,2023-06-26,36863.15
2023,3805,2023-06-14,77200
2023,4111,2023-06-26,138281.54
2023,3603,2023-06-02,3660.5
2023,3804,2023-06-14,60000
2023,4949,2023-07-28,280224
2023,4655,2023-07-14,23964.53
2023,4756,2023-07-21,749250.34
2023,5454,2023-08-28,36169.71
2023,5370,2023-08-21,150033.06
2023,5620,2023-08-31,503034
2023,5435,2023-08-25,439762.17
2023,5115,2023-08-07,469000
2023,5488,2023-08-30,5872540.89
2023,5885,2023-09-14,222200.69
2023,5804,2023-09-11,199577.64
2023,6393,2023-10-09,9826.28
2023,6462,2023-10-11,14397.24
2023,6412,2023-10-09,15857.79
2023,6398,2023-10-09,4870.34
2023,7546,2023-11-30,14343.78
2023,7296,2023-11-24,119327.79
2023,7218,2023-11-21,123546
2023,7237,2023-11-22,11021.82
2023,7217,2023-11-21,3456
2023,6996,2023-11-09,340.13
2023,7235,2023-11-22,13866.48
2023,7547,2023-11-30,1460094.06
2023,6887,2023-11-01,48750
2023,7219,2023-11-21,39410
2023,7545,2023-11-30,40074.03
2023,6885,2023-11-01,86291.85
2023,6889,2023-11-01,34682
2023,8116,2023-12-29,2238977.22
2023,7722,2023-12-12,30000
