anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,517,2023-01-30,124204.52
2023,970,2023-02-27,107093.16
2023,1367,2023-03-30,87388.69
2023,1741,2023-04-27,87168.89
2023,2166,2023-05-31,115443.25
2023,2528,2023-06-29,107427.96
2023,2662,2023-07-06,54255.9
2023,2937,2023-07-27,107359.64
2023,3379,2023-08-30,4183.34
2023,3383,2023-08-30,114226.56
2023,3747,2023-09-28,102791.61
2023,4182,2023-10-27,2144.87
2023,3883,2023-10-06,882.5
2023,4188,2023-10-27,108443.45
2023,4648,2023-11-29,5197.2
2023,4617,2023-11-29,70645.55
2023,4625,2023-11-29,176.5
2023,4637,2023-11-29,38866.3
2023,4963,2023-12-21,18048.31
2023,5042,2023-12-22,176.5
2023,4789,2023-12-07,8465.02
2023,4772,2023-12-07,44776.53
