anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2026,338,2026-01-02,53660
2026,889,2026-01-28,14580
2026,114,2026-01-02,1200000
2026,403,2026-01-02,55125
2026,404,2026-01-02,14278.31
2026,353,2026-01-02,28047.01
2026,488,2026-01-09,153446.25
2026,227,2026-01-02,375000
2026,887,2026-01-28,41070
2026,388,2026-01-02,33127.22
2026,401,2026-01-02,122842.75
2026,389,2026-01-02,172502.9
2026,385,2026-01-02,2703.6
2026,399,2026-01-02,13806.4
2026,779,2026-01-20,20341
2026,814,2026-01-21,30000
2026,334,2026-01-02,4200
2026,339,2026-01-02,315569.03
2026,370,2026-01-02,48564.82
2026,367,2026-01-02,19981.88
2026,423,2026-01-02,26640.23
2026,1007,2026-01-29,34200
2026,407,2026-01-02,56729.28
2026,78,2026-01-02,1500000
2026,360,2026-01-02,300000
2026,137,2026-01-02,35000
2026,143,2026-01-02,330000
2026,362,2026-01-02,20000
2026,981,2026-01-29,60442.5
2026,352,2026-01-02,61923.92
2026,740,2026-01-19,20600
2026,375,2026-01-02,33750
2026,462,2026-01-08,41625
2026,408,2026-01-02,27592.5
2026,265,2026-01-02,1328929.21
2026,91,2026-01-02,350000
2026,440,2026-01-05,52650
2026,387,2026-01-02,253167.6
2026,283,2026-01-02,525512.5
2026,427,2026-01-02,2123.1
2026,369,2026-01-02,414.23
2026,778,2026-01-20,305697.65
2026,498,2026-01-12,745000
2026,813,2026-01-21,322831.38
2026,494,2026-01-12,32476.62
2026,460,2026-01-08,230044.94
2026,251,2026-01-02,234180.94
2026,152,2026-01-02,1320000
2026,392,2026-01-02,4993.13
2026,442,2026-01-05,51696.65
2026,400,2026-01-02,244283.81
2026,424,2026-01-02,102444.91
2026,486,2026-01-09,8325
2026,482,2026-01-09,6772.08
2026,426,2026-01-02,44672.09
2026,390,2026-01-02,14229.57
2026,133,2026-01-02,85000
2026,439,2026-01-05,52650
2026,1185,2026-02-04,40000
2026,1189,2026-02-04,3129.5
2026,1470,2026-02-24,44875
2026,1148,2026-02-02,113.22
2026,1607,2026-02-26,642528.24
2026,1144,2026-02-02,2961.77
2026,1191,2026-02-04,3235.2
2026,1389,2026-02-18,890.22
2026,1496,2026-02-24,800.97
2026,1387,2026-02-18,43489.6
2026,1188,2026-02-04,3649.8
2026,1502,2026-02-25,1313521
2026,1227,2026-02-04,6116
2026,1145,2026-02-02,4064.58
2026,1193,2026-02-04,1564
2026,1336,2026-02-12,21780
2026,1156,2026-02-03,2664102.08
2026,1473,2026-02-24,14684.8
2026,1229,2026-02-05,139460.4
2026,1192,2026-02-04,5290.8
2026,1467,2026-02-24,19771.2
2026,1146,2026-02-02,4938.75
2026,1334,2026-02-11,837.22
2026,1190,2026-02-04,14719
2026,1469,2026-02-24,49019.63
2026,1231,2026-02-05,1278923.46
2026,1916,2026-03-12,45790
2026,1974,2026-03-16,108.39
2026,1809,2026-03-04,61962.45
2026,1901,2026-03-11,529.32
2026,2038,2026-03-20,107512.2
2026,1768,2026-03-03,1274.56
2026,1802,2026-03-04,2219.3
2026,1914,2026-03-12,19920
2026,2158,2026-03-26,12400
2026,1791,2026-03-04,56468.9
2026,1787,2026-03-04,11645.6
2026,1767,2026-03-03,2086.21
2026,1805,2026-03-04,3823.04
2026,1824,2026-03-05,575620.61
2026,1792,2026-03-04,4442.6
2026,1810,2026-03-04,671.4
2026,2154,2026-03-26,360
2026,1766,2026-03-03,47.06
2026,1910,2026-03-11,2861.45
2026,1793,2026-03-04,2515.2
2026,1789,2026-03-04,21130
2026,1788,2026-03-04,8868
2026,1778,2026-03-03,52650
2026,1796,2026-03-04,3910.8
2026,1795,2026-03-04,786.4
2026,2155,2026-03-26,14212.66
2026,1794,2026-03-04,13768
2026,1769,2026-03-03,27889.4
2026,1927,2026-03-12,957.75
2026,2157,2026-03-26,5061.07
2026,1779,2026-03-03,52650
2026,1790,2026-03-04,28000
2026,2156,2026-03-26,11060.63
2026,1803,2026-03-04,24.34
2026,1800,2026-03-04,34239.11
2026,1797,2026-03-04,1564.2
2026,1799,2026-03-04,4587
2026,2040,2026-03-20,34758.75
2026,1786,2026-03-04,33529.2
2026,2733,2026-04-09,10761.89
2026,2747,2026-04-09,55414.36
2026,2743,2026-04-09,7792.9
2026,2741,2026-04-09,2598.68
2026,2717,2026-04-09,31406.96
2026,2716,2026-04-09,8731.6
2026,2524,2026-04-01,388521.71
2026,2748,2026-04-09,35900
2026,2738,2026-04-09,4716
