anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2026,650,2026-01-14,32400
2026,628,2026-01-14,21863.04
2026,627,2026-01-14,552.5
2026,162,2026-01-02,80000
2026,652,2026-01-14,210000
2026,123,2026-01-02,70000
2026,273,2026-01-02,6136
2026,629,2026-01-14,10888.37
2026,653,2026-01-14,83643.24
2026,480,2026-01-09,23468.5
2026,631,2026-01-14,1864.8
2026,648,2026-01-14,17563.78
2026,636,2026-01-14,1530.83
2026,42,2026-01-02,70000
2026,646,2026-01-14,260
2026,651,2026-01-14,60000
2026,624,2026-01-14,4200
2026,633,2026-01-14,10000
2026,625,2026-01-14,675507.35
2026,630,2026-01-14,6031.78
2026,645,2026-01-14,2625
2026,635,2026-01-14,13593.6
2026,641,2026-01-14,12964.5
2026,638,2026-01-14,4804.04
2026,637,2026-01-14,14029.35
2026,634,2026-01-14,407.12
2026,623,2026-01-14,42000
2026,626,2026-01-14,37485.5
2026,622,2026-01-14,11046.12
2026,647,2026-01-14,4500
2026,649,2026-01-14,6553.1
2026,632,2026-01-14,4351.21
2026,1141,2026-02-02,110000
2026,1329,2026-02-11,18000
2026,1741,2026-02-27,450
2026,1328,2026-02-11,31189.92
2026,1330,2026-02-11,180000
2026,2024,2026-03-19,78.18
2026,2022,2026-03-19,596
2026,2031,2026-03-19,173.5
2026,1939,2026-03-13,6630
2026,2025,2026-03-19,1000
2026,1998,2026-03-18,3380.94
2026,1821,2026-03-05,45455.19
2026,2021,2026-03-19,4.36
2026,2020,2026-03-19,67.89
2026,2033,2026-03-19,105.75
2026,2023,2026-03-19,37.4
2026,2032,2026-03-19,5.75
2026,2807,2026-04-13,134496.25
2026,2605,2026-04-02,4866
2026,2767,2026-04-09,510.6
2026,2610,2026-04-02,5094.85
2026,2609,2026-04-02,5201.57
2026,2844,2026-04-14,15319.12
2026,2607,2026-04-02,5166.54
2026,2845,2026-04-14,10500
2026,2606,2026-04-02,7614.52
2026,2608,2026-04-02,4912.83
2026,2843,2026-04-14,62400
