anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,841,2025-01-30,2960.29
2025,831,2025-01-30,87086.09
2025,1499,2025-02-27,1033.32
2025,1491,2025-02-27,89140.5
2025,1420,2025-02-27,10972.23
2025,1986,2025-03-28,7374.43
2025,2067,2025-03-28,84603.27
2025,2078,2025-03-28,1768.25
2025,2538,2025-04-29,1577.23
2025,2588,2025-04-29,85902.53
2025,3096,2025-05-29,207.7
2025,3010,2025-05-29,11404.27
2025,3087,2025-05-29,91326.79
2025,3567,2025-06-26,16305.41
2025,3544,2025-06-26,158.83
2025,3524,2025-06-26,4074.01
2025,3640,2025-06-26,6609.86
2025,3226,2025-06-06,2185.92
2025,3618,2025-06-26,83019.08
2025,4185,2025-07-30,86420.04
2025,3827,2025-07-10,42472.79
2025,4109,2025-07-30,5153.65
2025,4195,2025-07-30,1573.13
2025,4741,2025-08-28,105888.77
2025,4730,2025-08-28,559.82
2025,5247,2025-09-29,72.04
2025,5218,2025-09-29,121520.48
2025,5176,2025-09-29,6446.86
2025,4781,2025-09-02,364.31
2025,5990,2025-10-30,3234.21
2025,5964,2025-10-30,107013.76
2025,5775,2025-10-30,9537.34
2025,5814,2025-10-30,2769.86
2025,5831,2025-10-30,22751.96
2025,6431,2025-11-27,74546.53
2025,6365,2025-11-27,461.67
2025,6303,2025-11-21,1821.6
2025,6463,2025-11-27,33396
2025,6380,2025-11-27,26589.19
2025,6452,2025-11-27,1743.89
2025,6353,2025-11-27,1286.15
2025,6756,2025-12-18,3084.11
2025,6810,2025-12-18,110186.54
2025,6727,2025-12-18,24878.56
2025,6612,2025-12-10,55316.68
2025,6833,2025-12-18,1934.65
