anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,605,2024-01-08,79.79
2024,62,2024-01-02,13851.91
2024,119,2024-01-02,790783.51
2024,750,2024-01-22,102.58
2024,1326,2024-02-15,241380
2024,1534,2024-02-28,79.79
2024,1122,2024-02-01,79.79
2024,1151,2024-02-05,79.79
2024,1535,2024-02-28,79.79
2024,3089,2024-04-29,16917.96
2024,2615,2024-04-10,79.79
2024,2869,2024-04-23,79.79
2024,3520,2024-05-21,227.96
2024,3522,2024-05-21,102.58
2024,4465,2024-06-27,31599
2024,4229,2024-06-21,10000
2024,4570,2024-06-28,341.94
2024,4032,2024-06-12,170.97
2024,5756,2024-08-22,79.79
2024,6873,2024-10-07,3700000
2024,7603,2024-11-11,341.94
2024,7514,2024-11-05,79.79
2024,8771,2024-12-27,156.19
2024,8201,2024-12-03,79.79
