anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,891,2025-01-30,7721.41
2025,1058,2025-01-30,14167.72
2025,1065,2025-01-30,60645.81
2025,1188,2025-02-05,854.84
2025,1785,2025-02-27,9805.08
2025,1786,2025-02-27,70410.7
2025,1676,2025-02-27,1125.73
2025,2422,2025-03-28,4988.06
2025,2454,2025-03-28,69097.24
2025,2363,2025-03-28,2133.87
2025,2369,2025-03-28,790.18
2025,3124,2025-04-29,7482.32
2025,3036,2025-04-29,804.55
2025,3023,2025-04-29,7394.63
2025,3089,2025-04-29,66159.26
2025,3040,2025-04-29,5047.78
2025,3780,2025-05-29,76559.5
2025,3718,2025-05-29,5557.81
2025,3724,2025-05-29,544.1
2025,4596,2025-06-26,76175.44
2025,4447,2025-06-26,1872.57
2025,4367,2025-06-26,3574.9
2025,4398,2025-06-26,381.07
2025,5296,2025-07-30,73821.18
2025,4768,2025-07-10,33134.23
2025,5313,2025-07-30,3488.65
2025,5932,2025-08-28,249.19
2025,5871,2025-08-28,75210.57
2025,6597,2025-09-29,75857.36
2025,7036,2025-10-30,2169.96
2025,7193,2025-10-30,75362.07
2025,7724,2025-11-27,4321.31
2025,7683,2025-11-27,77283.21
2025,7595,2025-11-27,13719.29
2025,8205,2025-12-18,4391.76
2025,8165,2025-12-18,80924.81
2025,7957,2025-12-10,40482.6
2025,8048,2025-12-18,1183.93
2025,8047,2025-12-18,126.96
2025,8086,2025-12-18,11350.04
