anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,283,2025-01-02,15000
2025,688,2025-01-16,957.43
2025,687,2025-01-16,957.43
2025,256,2025-01-02,34599.36
2025,683,2025-01-16,11600
2025,765,2025-01-21,13487.26
2025,698,2025-01-17,3347
2025,686,2025-01-16,957.43
2025,685,2025-01-16,957.43
2025,1271,2025-02-10,61440
2025,1176,2025-02-04,854.85
2025,2093,2025-03-12,12846.15
2025,2034,2025-03-10,90000
2025,2772,2025-04-15,50000
2025,3172,2025-04-29,2000
2025,2620,2025-04-04,16400
2025,2893,2025-04-23,14315.37
2025,3284,2025-05-07,176640
2025,3271,2025-05-06,1734
2025,4006,2025-06-10,11490.08
2025,4100,2025-06-17,1734.4
2025,5078,2025-07-25,20000
2025,5077,2025-07-25,20000
2025,5566,2025-08-19,20000
2025,5495,2025-08-12,16656.18
2025,6175,2025-09-10,1987.33
2025,6296,2025-09-17,19828.17
2025,6982,2025-10-24,16426.22
2025,7622,2025-11-27,13073.44
2025,7999,2025-12-16,1734.4
