anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,321,2024-01-03,50000
2024,959,2024-01-30,1000000
2024,165,2024-01-02,29166.66
2024,679,2024-01-16,313600
2024,690,2024-01-17,33888
2024,164,2024-01-02,291000
2024,105,2024-01-02,341250
2024,563,2024-01-04,1057786.27
2024,561,2024-01-04,113801.84
2024,861,2024-01-29,583.04
2024,676,2024-01-16,128202.88
2024,757,2024-01-22,78.1
2024,163,2024-01-02,27155.65
2024,18,2024-01-02,1200000
2024,958,2024-01-30,200
2024,168,2024-01-02,22068.9
2024,855,2024-01-29,2739.36
2024,691,2024-01-17,16944
2024,564,2024-01-04,69644.58
2024,17,2024-01-02,1920000
2024,705,2024-01-18,2724.83
2024,320,2024-01-03,100000
2024,167,2024-01-02,117494.13
2024,756,2024-01-22,78.1
2024,916,2024-01-30,30627.65
2024,166,2024-01-02,204600
2024,454,2024-01-04,74572.1
2024,170,2024-01-02,2500
2024,677,2024-01-16,1338.6
2024,960,2024-01-30,2000
2024,575,2024-01-05,1127224
2024,169,2024-01-02,68912.94
2024,860,2024-01-29,2141.85
2024,562,2024-01-04,58560
2024,717,2024-01-18,551.29
2024,362,2024-01-03,15000
2024,565,2024-01-04,36180.02
2024,755,2024-01-22,78.1
2024,689,2024-01-17,33888
2024,854,2024-01-29,3236.63
2024,716,2024-01-18,4926.54
2024,704,2024-01-18,2625.9
2024,110,2024-01-02,55000
2024,458,2024-01-04,3978.6
2024,106,2024-01-02,37869.57
2024,453,2024-01-04,121524.39
2024,368,2024-01-03,100000
2024,116,2024-01-02,67500
2024,688,2024-01-17,42360
2024,680,2024-01-16,79050
2024,868,2024-01-29,374.62
2024,1468,2024-02-22,849.44
2024,1269,2024-02-12,3043.84
2024,1161,2024-02-05,156.19
2024,1494,2024-02-26,2682.04
2024,1463,2024-02-22,356.7
2024,1465,2024-02-22,842.54
2024,1473,2024-02-22,356.7
2024,1451,2024-02-21,78227.4
2024,1183,2024-02-07,1258.28
2024,1467,2024-02-22,555.7
2024,1650,2024-02-28,319.18
2024,1262,2024-02-12,430.93
2024,1225,2024-02-08,153863.15
2024,1342,2024-02-16,3380841.75
2024,1518,2024-02-28,1998.93
2024,1359,2024-02-16,195.23
2024,1466,2024-02-22,555.7
2024,1352,2024-02-16,59441.2
2024,1436,2024-02-21,1453.6
2024,1456,2024-02-22,8537.14
2024,1338,2024-02-15,6150525
2024,1247,2024-02-09,78.1
2024,1268,2024-02-12,3537.75
2024,1138,2024-02-05,19054.74
2024,1184,2024-02-07,2751.27
2024,1495,2024-02-26,2080.16
2024,1464,2024-02-22,849.44
2024,1196,2024-02-07,4785.14
2024,1261,2024-02-12,1400.14
2024,1248,2024-02-09,78.1
2024,1517,2024-02-28,4527.24
2024,1249,2024-02-09,1151.8
2024,1390,2024-02-19,12300
2024,1472,2024-02-22,849.44
2024,1197,2024-02-07,1594
2024,1324,2024-02-15,105400
2024,2057,2024-03-15,7849.09
2024,2062,2024-03-15,104.13
2024,2058,2024-03-15,52050
2024,1934,2024-03-08,8248
2024,2249,2024-03-27,1544.67
2024,2009,2024-03-13,8262.6
2024,2095,2024-03-19,1320
2024,1774,2024-03-01,2824
2024,2001,2024-03-13,2594.41
2024,1995,2024-03-13,40276.73
2024,2077,2024-03-19,69582.6
2024,2428,2024-03-28,13000
2024,2051,2024-03-15,39620.03
2024,1928,2024-03-08,2934.68
2024,2366,2024-03-27,319.18
2024,2257,2024-03-27,5000
2024,2000,2024-03-13,2836.01
2024,1926,2024-03-08,2687.3
