anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,330,2023-01-03,48237.91
2023,747,2023-01-24,500
2023,661,2023-01-19,8650
2023,354,2023-01-04,9765
2023,646,2023-01-19,16870
2023,353,2023-01-04,20080
2023,647,2023-01-19,16957
2023,331,2023-01-03,68000
2023,405,2023-01-05,140143.92
2023,1573,2023-02-28,4920
2023,1382,2023-02-22,16350
2023,1572,2023-02-28,5551.47
2023,1174,2023-02-09,16870
2023,1238,2023-02-13,174500
2023,1104,2023-02-03,5625
2023,1103,2023-02-03,330
2023,1168,2023-02-09,1236
2023,1387,2023-02-23,4600
2023,1097,2023-02-03,30600
2023,1821,2023-03-15,118000
2023,1672,2023-03-07,17018.6
2023,1708,2023-03-09,2710
2023,1929,2023-03-21,5600.1
2023,2314,2023-04-06,17348
2023,2315,2023-04-06,8484.09
2023,3184,2023-05-19,2834.84
2023,3313,2023-05-25,228
2023,2940,2023-05-05,960
2023,3098,2023-05-15,15150
2023,3129,2023-05-16,734.4
2023,3874,2023-06-16,10575
2023,3808,2023-06-14,10800
2023,3579,2023-06-02,27361.75
2023,3612,2023-06-05,2240.84
2023,3873,2023-06-16,14276
2023,3613,2023-06-05,594
2023,3951,2023-06-20,1560
2023,4621,2023-07-12,239
2023,4833,2023-07-27,20908.3
2023,4639,2023-07-14,5525
2023,4704,2023-07-19,297.5
2023,4706,2023-07-19,1131.53
2023,4707,2023-07-19,297
2023,5387,2023-08-22,24899.45
2023,5131,2023-08-08,5043
2023,5455,2023-08-28,15600
2023,5238,2023-08-11,4669.9
2023,5651,2023-09-01,2223.3
2023,6450,2023-10-10,6783
2023,6672,2023-10-26,1556.24
2023,6449,2023-10-10,12285
2023,6960,2023-11-08,356.7
2023,6961,2023-11-08,982.34
2023,7599,2023-12-05,8760.6
2023,7643,2023-12-07,24958.71
2023,7600,2023-12-05,3609
