anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,580,2023-01-16,146973
2023,360,2023-01-04,45.5
2023,412,2023-01-09,9720
2023,679,2023-01-23,6030
2023,819,2023-01-27,40
2023,408,2023-01-09,8499.96
2023,367,2023-01-04,183.16
2023,873,2023-01-30,2695
2023,357,2023-01-04,941.35
2023,358,2023-01-04,195
2023,669,2023-01-20,8880.48
2023,362,2023-01-04,190
2023,110,2023-01-02,10000
2023,579,2023-01-16,220459.5
2023,421,2023-01-09,300
2023,418,2023-01-09,2000
2023,666,2023-01-20,10926.61
2023,414,2023-01-09,22230
2023,807,2023-01-26,4470
2023,409,2023-01-09,292800
2023,581,2023-01-16,73486.5
2023,784,2023-01-25,10800
2023,430,2023-01-09,8829.16
2023,146,2023-01-02,10000
2023,364,2023-01-04,125
2023,415,2023-01-09,43653.56
2023,771,2023-01-24,1290
2023,413,2023-01-09,10350
2023,410,2023-01-09,51144.5
2023,67,2023-01-02,26000
2023,862,2023-01-30,450.1
2023,626,2023-01-18,882
2023,361,2023-01-04,346.95
2023,366,2023-01-04,2720
2023,365,2023-01-04,4842
2023,608,2023-01-17,136.5
2023,740,2023-01-23,6800
2023,411,2023-01-09,1269
2023,111,2023-01-02,10000
2023,109,2023-01-02,25000
2023,676,2023-01-23,850
2023,744,2023-01-24,107.96
2023,363,2023-01-04,104.4
2023,423,2023-01-09,10000
2023,359,2023-01-04,280
2023,677,2023-01-23,793.68
2023,607,2023-01-17,417.6
2023,417,2023-01-09,1800
2023,422,2023-01-09,13593.6
2023,648,2023-01-19,50000
2023,48,2023-01-02,82000
2023,1119,2023-02-06,294
2023,1121,2023-02-06,9394.68
2023,1430,2023-02-24,65000
2023,1289,2023-02-15,420
2023,1118,2023-02-03,4607.06
2023,1081,2023-02-02,13243.74
2023,1117,2023-02-03,6321.25
2023,1400,2023-02-24,2857.2
2023,1431,2023-02-24,25000
2023,1432,2023-02-24,10000
2023,1249,2023-02-14,2400
2023,2200,2023-03-30,70.8
2023,2199,2023-03-30,209.15
2023,2198,2023-03-30,4492.06
2023,2201,2023-03-30,149.85
2023,2205,2023-03-30,179.85
2023,2203,2023-03-30,155.8
2023,2195,2023-03-30,425
2023,1643,2023-03-06,15600
2023,2228,2023-03-31,125.7
2023,1849,2023-03-16,360.46
2023,2204,2023-03-30,155.8
2023,2202,2023-03-30,62.85
2023,2196,2023-03-30,3868.5
2023,1850,2023-03-16,40
2023,2227,2023-03-31,4649
2023,1822,2023-03-15,2000
2023,2225,2023-03-31,588
2023,1782,2023-03-13,94.15
2023,2226,2023-03-31,179.85
2023,2197,2023-03-30,856
2023,2654,2023-04-26,3200
2023,2651,2023-04-26,223.6
2023,2443,2023-04-13,39000
2023,2397,2023-04-12,2100.05
2023,2541,2023-04-18,13243.74
2023,3011,2023-05-10,3670.98
2023,3144,2023-05-17,7066.96
2023,3158,2023-05-18,380.71
2023,3160,2023-05-18,74.8
2023,2964,2023-05-08,13000
2023,3124,2023-05-16,1280
2023,3391,2023-05-30,2500
2023,3161,2023-05-18,450
2023,2839,2023-05-02,946.04
2023,3163,2023-05-18,674.47
2023,3055,2023-05-11,1051.84
2023,3162,2023-05-18,396.45
2023,2922,2023-05-05,8000
2023,3125,2023-05-16,16648.46
2023,3159,2023-05-18,135.4
2023,3557,2023-06-01,10003.47
2023,3680,2023-06-07,391.3
2023,3857,2023-06-15,660
2023,3810,2023-06-14,718
2023,3679,2023-06-07,409.17
2023,3902,2023-06-19,20042.12
2023,4573,2023-07-11,10008.58
2023,4637,2023-07-13,17010
2023,4383,2023-07-05,559.6
2023,4688,2023-07-18,20031.45
2023,4473,2023-07-07,533.68
2023,4381,2023-07-05,760
2023,4474,2023-07-07,296.5
2023,5003,2023-08-01,2900
2023,5033,2023-08-02,1176
2023,5032,2023-08-02,453.4
2023,5447,2023-08-28,10047.75
2023,5361,2023-08-18,240
2023,5377,2023-08-21,850
2023,5940,2023-09-19,1697.46
2023,5646,2023-09-01,477.5
2023,6119,2023-09-28,2063.8
2023,5644,2023-09-01,1790.2
2023,5649,2023-09-01,3900
2023,5647,2023-09-01,622.5
2023,5671,2023-09-04,26487.48
2023,6037,2023-09-22,1056
2023,5648,2023-09-01,213.45
2023,5805,2023-09-11,30000
2023,5645,2023-09-01,437.5
2023,5683,2023-09-04,39200
2023,5684,2023-09-04,16800
2023,5643,2023-09-01,444.09
2023,5650,2023-09-01,2450
2023,5670,2023-09-04,62000
2023,6038,2023-09-22,3184
2023,5939,2023-09-19,5429.86
2023,6469,2023-10-11,225.68
2023,6556,2023-10-18,6796.8
2023,6470,2023-10-11,999.96
2023,6473,2023-10-11,2201.02
2023,6471,2023-10-11,359.7
2023,6467,2023-10-11,105.5
2023,6468,2023-10-11,2450
2023,6451,2023-10-10,294
2023,6283,2023-10-02,1782
2023,6330,2023-10-04,5456.86
2023,6475,2023-10-11,2367
2023,6466,2023-10-11,2340
2023,6590,2023-10-20,4467
2023,6505,2023-10-13,375.7
2023,7027,2023-11-10,213.45
2023,7044,2023-11-10,1498.4
2023,7108,2023-11-16,15600
2023,7049,2023-11-10,1146
2023,7046,2023-11-10,5460
2023,7048,2023-11-10,2450
2023,7160,2023-11-20,583.6
2023,7040,2023-11-10,1056
2023,7025,2023-11-10,875
2023,7050,2023-11-10,1447.7
2023,7042,2023-11-10,1470
2023,7109,2023-11-16,50000
2023,7038,2023-11-10,1697.46
2023,7070,2023-11-13,456.15
2023,7198,2023-11-20,23144.22
2023,7051,2023-11-10,140
2023,7045,2023-11-10,323.6
2023,7028,2023-11-10,3073
2023,7026,2023-11-10,437.5
2023,7047,2023-11-10,5780
2023,6991,2023-11-09,37764.22
2023,7776,2023-12-15,20000
2023,7777,2023-12-15,15000
2023,7775,2023-12-15,15000
