anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,756,2023-01-24,1200
2023,446,2023-01-10,86356.1
2023,838,2023-01-27,37240
2023,558,2023-01-16,96.62
2023,1379,2023-02-22,26515
2023,1250,2023-02-14,32205
2023,2787,2023-04-27,6495
2023,2786,2023-04-27,92850
2023,2519,2023-04-17,1072630
2023,3151,2023-05-17,96.62
2023,3172,2023-05-18,96.62
2023,2974,2023-05-09,54975
2023,3174,2023-05-18,96.62
2023,2941,2023-05-05,96.62
2023,2888,2023-05-04,147400
2023,3186,2023-05-19,96.62
2023,3175,2023-05-18,96.62
2023,3177,2023-05-18,96.62
2023,3176,2023-05-18,96.62
2023,3173,2023-05-18,96.62
2023,2975,2023-05-09,93050
2023,3093,2023-05-15,385000
2023,4077,2023-06-23,96.62
2023,3877,2023-06-16,29944
2023,4382,2023-07-05,84050
2023,6098,2023-09-27,624000
2023,6056,2023-09-25,267995
2023,5835,2023-09-13,96.62
2023,6554,2023-10-18,472630
2023,6321,2023-10-04,55991
2023,6681,2023-10-27,597504.36
2023,7628,2023-12-06,96.62
2023,7630,2023-12-06,96.62
2023,7704,2023-12-08,96.62
