anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,65,2023-01-02,5000
2023,265,2023-01-17,701.5
2023,67,2023-01-02,124490
2023,311,2023-01-20,4653.2
2023,264,2023-01-17,8192.65
2023,263,2023-01-17,1406.58
2023,735,2023-02-08,2677.22
2023,778,2023-02-10,10000
2023,736,2023-02-08,1928.87
2023,1031,2023-03-01,10000
2023,1032,2023-03-01,10000
2023,1606,2023-04-20,3702
2023,1443,2023-04-04,5865
2023,1679,2023-04-26,48668
2023,1641,2023-04-25,13600
2023,2075,2023-05-24,1991.5
2023,1808,2023-05-02,1527.33
2023,2208,2023-05-31,2541
2023,2029,2023-05-18,9900
2023,1807,2023-05-02,1527.33
2023,2574,2023-06-30,5110
2023,2577,2023-06-30,36713.67
2023,2576,2023-06-30,2951.21
2023,2379,2023-06-16,4532
2023,2575,2023-06-30,6041.27
2023,2847,2023-07-19,4833
2023,2907,2023-07-26,100000
2023,3010,2023-07-31,10000
2023,2685,2023-07-07,7640
2023,3157,2023-08-15,1550
2023,3269,2023-08-21,2710.45
2023,3262,2023-08-21,483.9
2023,3267,2023-08-21,1341.33
2023,3288,2023-08-21,5331.79
2023,3261,2023-08-21,1772.55
2023,3287,2023-08-21,705
2023,3290,2023-08-21,4213.71
2023,3289,2023-08-21,2744.23
2023,3556,2023-09-18,4430
2023,3579,2023-09-19,2000
2023,3995,2023-10-18,67740
2023,3983,2023-10-18,2116
2023,4308,2023-11-08,4164.2
2023,4330,2023-11-08,3800
2023,4318,2023-11-08,9912.39
2023,4307,2023-11-08,181.88
2023,4310,2023-11-08,6270.6
2023,4315,2023-11-08,285
2023,4860,2023-12-13,1
2023,4740,2023-12-05,3946
