anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,231,2025-01-02,20000
2025,108,2025-01-02,30000
2025,224,2025-01-02,791.69
2025,909,2025-01-30,1604.93
2025,1440,2025-02-17,19259.16
2025,3373,2025-05-12,102.58
2025,3480,2025-05-19,79.79
2025,3425,2025-05-15,102.58
2025,3273,2025-05-06,1600
2025,3841,2025-05-29,150
2025,4424,2025-06-26,56000
2025,4318,2025-06-26,235
2025,4316,2025-06-26,235
2025,4168,2025-06-23,400
2025,4514,2025-06-26,115
2025,4317,2025-06-26,235
2025,5950,2025-08-28,115
2025,6568,2025-09-29,115
2025,6709,2025-10-09,464
2025,7466,2025-11-17,774
2025,7423,2025-11-12,1806
2025,7330,2025-11-06,2200
2025,7807,2025-12-01,58992
