anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,1129,2025-01-31,170.97
2025,1130,2025-01-31,79.79
2025,684,2025-01-16,170.97
2025,498,2025-01-08,170.97
2025,1131,2025-01-31,79.79
2025,803,2025-01-23,170.97
2025,1581,2025-02-24,170.97
2025,1203,2025-02-05,28625.43
2025,2197,2025-03-20,4000
2025,2149,2025-03-14,79.79
2025,2150,2025-03-14,170.97
2025,2638,2025-04-07,387.53
2025,3320,2025-05-08,79.79
2025,3927,2025-06-03,239.37
2025,3928,2025-06-03,512.91
2025,5973,2025-08-29,535.71
2025,5758,2025-08-26,387.54
2025,5972,2025-08-29,854.85
2025,6319,2025-09-18,700
2025,6291,2025-09-17,170.97
2025,6370,2025-09-22,120
2025,6292,2025-09-17,79.79
2025,6368,2025-09-22,120
2025,6369,2025-09-22,774
2025,6320,2025-09-18,700
2025,7406,2025-11-12,120
2025,7912,2025-12-10,620
2025,8001,2025-12-16,258
