anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,1034,2024-01-30,46362.22
2024,1076,2024-01-30,2129.33
2024,895,2024-01-30,2062.88
2024,1637,2024-02-28,5072.4
2024,1660,2024-02-28,43768.43
2024,2413,2024-03-27,60456.2
2024,2387,2024-03-27,146.72
2024,2275,2024-03-27,4487.32
2024,3188,2024-04-29,57818.57
2024,3687,2024-05-29,3389.07
2024,3768,2024-05-29,47053
2024,3640,2024-05-29,4007.61
2024,4499,2024-06-27,977.71
2024,4546,2024-06-27,47288.96
2024,4429,2024-06-27,10113.63
2024,4399,2024-06-27,5584.33
2024,5262,2024-07-31,10281.21
2024,4674,2024-07-03,23014.51
2024,4866,2024-07-15,25840.92
2024,5280,2024-07-31,30884.3
2024,6013,2024-08-29,42221.73
2024,6084,2024-08-29,1087.52
2024,5479,2024-08-08,426
2024,5452,2024-08-08,1022.34
2024,6259,2024-09-09,1432.28
2024,6708,2024-09-27,42690.62
2024,7397,2024-10-30,43309.24
2024,7247,2024-10-30,3526.37
2024,8058,2024-11-28,40071.41
2024,8084,2024-11-28,3526.43
2024,8243,2024-12-05,22070.44
2024,8561,2024-12-19,7290.17
2024,8652,2024-12-19,43309.24
