anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,1294,2024-02-13,79.79
2024,1484,2024-02-26,239.37
2024,1290,2024-02-13,79.79
2024,3833,2024-05-31,159.58
2024,3835,2024-05-31,159.58
2024,3394,2024-05-13,388000
2024,3836,2024-05-31,79.79
2024,3834,2024-05-31,159.58
2024,4322,2024-06-25,79.79
2024,4978,2024-07-19,79.79
2024,5627,2024-08-14,79.79
2024,5816,2024-08-27,239.37
2024,5817,2024-08-27,239.37
2024,5818,2024-08-27,239.37
2024,6404,2024-09-16,239.37
2024,6403,2024-09-16,239.37
2024,6401,2024-09-16,239.37
2024,6402,2024-09-16,239.37
2024,7509,2024-11-05,387.54
2024,7653,2024-11-12,307.74
