anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,996,2023-01-30,937.27
2023,983,2023-01-30,211829.63
2023,930,2023-01-30,2811.87
2023,1546,2023-02-27,2360.23
2023,1537,2023-02-27,224045.43
2023,2168,2023-03-30,223244.53
2023,2141,2023-03-30,10075.9
2023,2144,2023-03-30,1054.46
2023,2718,2023-04-27,210617.41
2023,2730,2023-04-27,2882.31
2023,3492,2023-05-31,228604.51
2023,3449,2023-05-31,658.89
2023,3448,2023-05-31,2972.02
2023,4275,2023-06-29,1304.18
2023,4264,2023-06-29,239191.8
2023,4435,2023-07-06,97979.56
2023,4906,2023-07-27,228442.99
2023,5518,2023-08-30,6400.87
2023,5558,2023-08-30,226198.85
2023,5570,2023-08-30,5095.13
2023,5520,2023-08-30,2445.4
2023,6203,2023-09-28,239230.18
2023,6778,2023-10-27,231198.2
2023,6788,2023-10-27,4760.25
2023,7457,2023-11-29,230295.23
2023,7508,2023-11-29,6082.7
2023,7891,2023-12-21,8534.67
2023,8022,2023-12-22,232192.58
2023,8035,2023-12-22,6214.99
2023,7668,2023-12-07,125277.45
2023,7913,2023-12-21,49104.73
