anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,324,2023-01-03,621000
2023,351,2023-01-04,552816.73
2023,650,2023-01-19,113629.77
2023,348,2023-01-04,35772.71
2023,76,2023-01-02,200000
2023,56,2023-01-02,70000
2023,61,2023-01-02,20000
2023,51,2023-01-02,300000
2023,1269,2023-02-15,20772
2023,1109,2023-02-03,2740
2023,1120,2023-02-06,83500.2
2023,1114,2023-02-03,6780
2023,1113,2023-02-03,1795
2023,1073,2023-02-01,68638.49
2023,1268,2023-02-15,2500
2023,1916,2023-03-20,2648
2023,2292,2023-04-05,11268
2023,2414,2023-04-12,3000
2023,2808,2023-04-27,96000
2023,2538,2023-04-18,115000
2023,2810,2023-04-27,10000
2023,2291,2023-04-05,11268
2023,3325,2023-05-25,1795
2023,3319,2023-05-25,4520
2023,3393,2023-05-30,29100
2023,3320,2023-05-25,5443.2
2023,3321,2023-05-25,17265.6
2023,3404,2023-05-30,8000
2023,3324,2023-05-25,17656.5
2023,3322,2023-05-25,1425
2023,3323,2023-05-25,17247.9
2023,3676,2023-06-07,550000
2023,3757,2023-06-12,14007.76
2023,3648,2023-06-06,11268
2023,3756,2023-06-12,79188.9
2023,4142,2023-06-28,28017
2023,3649,2023-06-06,11268
2023,3767,2023-06-12,16250
2023,3765,2023-06-12,26019
2023,3759,2023-06-12,2971.08
2023,3718,2023-06-09,20000
2023,3777,2023-06-13,137608
2023,4139,2023-06-28,13000
2023,3758,2023-06-12,5608.8
2023,4489,2023-07-07,1335
2023,4970,2023-07-28,63306.2
2023,4649,2023-07-14,14000
2023,4775,2023-07-24,91000
2023,4968,2023-07-28,78300
2023,4966,2023-07-28,2619
2023,4774,2023-07-24,92000
2023,4674,2023-07-17,7000
2023,4364,2023-07-04,250000
2023,4651,2023-07-14,56000
2023,4691,2023-07-18,2850
2023,5065,2023-08-03,79733.5
2023,5314,2023-08-17,24000
2023,5031,2023-08-02,11268
2023,5380,2023-08-21,28000
2023,5063,2023-08-03,19000
2023,5061,2023-08-03,9500
2023,5316,2023-08-17,14950
2023,5617,2023-08-31,41000
2023,5619,2023-08-31,49000
2023,5437,2023-08-25,93068.55
2023,5030,2023-08-02,11268
2023,5058,2023-08-03,54862.55
2023,5436,2023-08-25,2139.5
2023,5066,2023-08-03,14685
2023,5333,2023-08-17,59527.3
2023,5369,2023-08-18,30103
2023,5909,2023-09-15,8780
2023,6077,2023-09-26,89595.74
2023,5980,2023-09-21,80000
2023,6062,2023-09-26,250000
2023,6818,2023-10-30,59468.8
2023,6338,2023-10-04,115.18
2023,6443,2023-10-10,2156
2023,6821,2023-10-30,2637.2
2023,6399,2023-10-09,11268
2023,6822,2023-10-30,11105
2023,6448,2023-10-10,64884.1
2023,6441,2023-10-10,11250
2023,6442,2023-10-10,17606.1
2023,6445,2023-10-10,5453
2023,6819,2023-10-30,1285.5
2023,6668,2023-10-26,100000
2023,6820,2023-10-30,8701.3
2023,6444,2023-10-10,10678
2023,6446,2023-10-10,1726.56
2023,6400,2023-10-09,11268
2023,6440,2023-10-10,15935
2023,6657,2023-10-25,4000
2023,6946,2023-11-07,15565
2023,7552,2023-11-30,96.62
2023,7411,2023-11-29,1500000
2023,8119,2023-12-29,300000
2023,7736,2023-12-13,261632.89
2023,7946,2023-12-21,800000
2023,8111,2023-12-29,784436.64
2023,7726,2023-12-12,1200000
