anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2026,18,2026-01-02,1500
2026,9,2026-01-02,500
2026,23,2026-01-02,2000
2026,17,2026-01-02,1500
2026,32,2026-01-08,3000
2026,16,2026-01-02,1500
2026,27,2026-01-02,45.72
2026,35,2026-01-08,43.8
2026,2,2026-01-02,1000
2026,13,2026-01-02,1000
2026,26,2026-01-02,22197.85
2026,34,2026-01-08,43.8
2026,25,2026-01-02,500
2026,31,2026-01-08,3000
2026,30,2026-01-08,3000
2026,33,2026-01-08,43.8
2026,24,2026-01-02,2000
2026,7,2026-01-02,1500
2026,29,2026-01-08,3000
2026,3,2026-01-02,1000
2026,20,2026-01-02,1500
2026,36,2026-01-19,67200
2026,14,2026-01-02,1000
2026,6,2026-01-02,6000
2026,19,2026-01-02,6600
2026,10,2026-01-02,500
2026,22,2026-01-02,2500
2026,5,2026-01-02,1500
2026,11,2026-01-02,500
2026,12,2026-01-02,1000
2026,8,2026-01-02,2000
2026,21,2026-01-02,2500
2026,15,2026-01-02,1500
2026,4,2026-01-02,1500
2026,28,2026-01-02,45.72
2026,38,2026-02-12,3000
2026,40,2026-02-12,3000
2026,42,2026-02-18,3000
2026,39,2026-02-12,3000
2026,37,2026-02-12,3000
2026,41,2026-02-18,3000
2026,43,2026-03-13,3000
2026,47,2026-03-26,43.8
2026,46,2026-03-17,3000
2026,45,2026-03-16,3000
2026,44,2026-03-13,3000
2026,48,2026-04-06,3000
2026,49,2026-04-09,3000
2026,50,2026-04-16,3000
