anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,1057,2025-01-30,71817.33
2025,964,2025-01-30,267.62
2025,1017,2025-01-30,359616.66
2025,939,2025-01-30,83647.98
2025,893,2025-01-30,24452.06
2025,1185,2025-02-05,4449.97
2025,1675,2025-02-27,10565.34
2025,1814,2025-02-27,391259.21
2025,1781,2025-02-27,25864.34
2025,2023,2025-03-07,1891.03
2025,1963,2025-03-06,365.13
2025,2484,2025-03-28,430693.76
2025,2476,2025-03-28,12636.12
2025,1965,2025-03-06,1430.34
2025,2337,2025-03-28,3876.02
2025,2055,2025-03-11,8709.04
2025,3102,2025-04-29,5058.8
2025,3167,2025-04-29,470180.7
2025,2793,2025-04-16,4618.98
2025,2760,2025-04-14,10321.13
2025,3014,2025-04-29,12322.82
2025,3670,2025-05-29,5281.58
2025,3776,2025-05-29,15682.75
2025,3466,2025-05-19,2977.69
2025,3709,2025-05-29,3151.04
2025,3786,2025-05-29,455433.87
2025,4389,2025-06-26,23788.13
2025,4592,2025-06-26,7255.34
2025,4444,2025-06-26,33137.71
2025,4468,2025-06-26,77174.31
2025,4604,2025-06-26,517131.45
2025,4360,2025-06-26,676.99
2025,5277,2025-07-30,455067.92
2025,5184,2025-07-30,11761.68
2025,5266,2025-07-30,44176.06
2025,4781,2025-07-10,212914.23
2025,5180,2025-07-30,6274.03
2025,5165,2025-07-30,18179.16
2025,5772,2025-08-28,15551.27
2025,5948,2025-08-28,451980.72
2025,5803,2025-08-28,9892.81
2025,5867,2025-08-28,19678.82
2025,6603,2025-09-29,447298.53
2025,6593,2025-09-29,12577.37
2025,6457,2025-09-29,14611.99
2025,7028,2025-10-30,3881.3
2025,7180,2025-10-30,22821.82
2025,6716,2025-10-10,1791.27
2025,7056,2025-10-30,2739.35
2025,7200,2025-10-30,433420.05
2025,7054,2025-10-30,13539.93
2025,7617,2025-11-27,2597.8
2025,7700,2025-11-27,440971.22
2025,7673,2025-11-27,9395.46
2025,7588,2025-11-27,22601.35
2025,7616,2025-11-27,5670.04
2025,8160,2025-12-18,30537.27
2025,7924,2025-12-10,112.12
2025,8077,2025-12-18,37328.03
2025,8173,2025-12-18,457904.28
2025,7965,2025-12-10,2359.85
2025,7941,2025-12-10,228457
