anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,950,2023-01-30,50103.95
2023,963,2023-01-30,725.43
2023,1521,2023-02-27,51747.34
2023,2152,2023-03-30,60908.83
2023,2689,2023-04-27,63997.01
2023,2702,2023-04-27,1781.82
2023,3477,2023-05-31,2121.3
2023,3467,2023-05-31,76646.18
2023,4243,2023-06-29,64853.55
2023,4887,2023-07-27,59566.87
2023,4426,2023-07-06,29224.47
2023,5597,2023-08-30,96146.87
2023,5598,2023-08-30,95521.72
2023,5538,2023-08-30,57730.33
2023,5517,2023-08-30,77862.2
2023,5574,2023-08-30,3301.29
2023,5584,2023-08-30,35829.4
2023,5544,2023-08-30,2888.63
2023,6185,2023-09-28,58136.83
2023,6746,2023-10-27,58179.68
2023,7433,2023-11-29,63241.72
2023,7658,2023-12-07,27693.56
2023,7997,2023-12-22,56464.24
2023,7918,2023-12-21,19562.6
