anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,636,2025-01-22,3000
2025,245,2025-01-08,1927.48
2025,746,2025-01-28,700
2025,37,2025-01-03,79.79
2025,15,2025-01-02,25000
2025,731,2025-01-28,1000
2025,684,2025-01-24,79.79
2025,385,2025-01-14,10869.68
2025,250,2025-01-08,1425.18
2025,22,2025-01-02,30000
2025,442,2025-01-15,79.79
2025,626,2025-01-22,4000
2025,161,2025-01-08,9205.8
2025,1265,2025-02-20,3446.13
2025,1359,2025-02-25,7194.54
2025,1043,2025-02-07,79.79
2025,1317,2025-02-24,417.85
2025,1527,2025-02-27,3017.17
2025,1569,2025-02-28,79.79
2025,1125,2025-02-14,79.79
2025,1413,2025-02-27,349
2025,1258,2025-02-20,5000
2025,1249,2025-02-20,10116.54
2025,1236,2025-02-20,3980
2025,1244,2025-02-20,749.4
2025,1285,2025-02-21,545
2025,1326,2025-02-24,710
2025,1729,2025-03-13,1124.03
2025,1591,2025-03-05,79.79
2025,1737,2025-03-13,225.5
2025,1806,2025-03-18,79.79
2025,1714,2025-03-13,8838.73
2025,1681,2025-03-11,79.79
2025,1707,2025-03-13,13230
2025,1786,2025-03-17,18693.33
2025,1680,2025-03-11,79.79
2025,1722,2025-03-13,624.5
2025,2207,2025-04-07,3395.36
2025,2428,2025-04-25,523.5
2025,2171,2025-04-04,1399.93
2025,2288,2025-04-11,523.5
2025,2214,2025-04-07,170.33
2025,2222,2025-04-07,1000
2025,2829,2025-05-14,307.75
2025,3136,2025-05-30,79.79
2025,2678,2025-05-06,560.05
2025,2826,2025-05-14,307.75
2025,2857,2025-05-16,79.79
2025,2702,2025-05-06,1628.5
2025,2822,2025-05-13,79.79
2025,2672,2025-05-06,1182.61
2025,2814,2025-05-13,79.79
2025,2964,2025-05-23,79.79
2025,2684,2025-05-06,1999.9
2025,3180,2025-06-04,10000
2025,3206,2025-06-05,401.35
2025,3162,2025-06-03,94934.84
2025,3239,2025-06-06,79.79
2025,3375,2025-06-18,174.5
2025,4088,2025-07-29,1000
2025,3962,2025-07-18,2800
2025,3970,2025-07-18,800
2025,4064,2025-07-29,540.95
2025,3983,2025-07-18,79.79
2025,4350,2025-08-08,3000
2025,4541,2025-08-21,1600.2
2025,4381,2025-08-12,6990.6
2025,4632,2025-08-27,688.25
2025,4537,2025-08-21,4399.8
2025,4611,2025-08-26,1875
2025,4618,2025-08-27,10000
2025,4948,2025-09-10,13247.98
2025,4940,2025-09-10,610.75
2025,4812,2025-09-03,1582
2025,4804,2025-09-03,1208.9
2025,4797,2025-09-03,191.1
2025,5038,2025-09-16,3000
2025,5507,2025-10-15,10000
2025,5786,2025-10-30,2330.9
2025,5790,2025-10-30,1069.1
2025,5738,2025-10-29,500
2025,5661,2025-10-23,471.15
2025,5795,2025-10-30,2500
2025,5745,2025-10-29,1000
2025,6291,2025-11-19,1927.48
2025,6394,2025-11-27,4242.54
2025,6275,2025-11-19,5000
2025,6340,2025-11-26,200
2025,6286,2025-11-19,1425.18
2025,6580,2025-12-09,2135
2025,6541,2025-12-03,1953.6
