anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,362,2025-01-02,1362.3
2025,527,2025-01-09,2250.93
2025,1123,2025-01-31,2268.25
2025,363,2025-01-02,294345.59
2025,367,2025-01-02,11833.23
2025,365,2025-01-02,13633
2025,44,2025-01-02,1000
2025,383,2025-01-02,80300
2025,370,2025-01-02,15125.5
2025,360,2025-01-02,5365.9
2025,369,2025-01-02,125906.6
2025,366,2025-01-02,28.07
2025,1122,2025-01-31,3129.39
2025,368,2025-01-02,106707.95
2025,364,2025-01-02,10252.08
2025,526,2025-01-09,1177.3
2025,820,2025-01-27,52500
2025,1010,2025-01-30,434.12
2025,821,2025-01-27,10425
2025,361,2025-01-02,29600.14
2025,1465,2025-02-18,24270.97
2025,1854,2025-02-28,5377.5
2025,1853,2025-02-28,7350
2025,1204,2025-02-06,44145.75
2025,1623,2025-02-26,7290
2025,1464,2025-02-18,23568.56
2025,1316,2025-02-13,962.8
2025,1850,2025-02-27,18306.5
2025,1852,2025-02-28,5376
2025,2250,2025-03-21,1462.4
2025,2014,2025-03-06,147500
2025,2232,2025-03-20,20197.1
2025,2172,2025-03-19,25442
2025,2628,2025-04-07,9800
2025,2890,2025-04-23,11381.25
2025,2640,2025-04-08,17870
2025,2891,2025-04-23,4935
2025,2639,2025-04-08,62643.1
2025,2665,2025-04-09,52256.9
2025,3650,2025-05-29,2437.98
2025,3596,2025-05-26,36968.3
2025,3867,2025-05-30,4845
2025,3866,2025-05-30,19275
2025,3309,2025-05-08,10000
2025,3651,2025-05-29,2925.43
2025,3487,2025-05-21,230637.39
2025,3948,2025-06-05,6324.61
2025,3988,2025-06-10,539.46
2025,5114,2025-07-28,1537.9
2025,5065,2025-07-24,4042.27
2025,5010,2025-07-22,15600
2025,4886,2025-07-14,1608.29
2025,5011,2025-07-22,5362.5
2025,5332,2025-07-30,10250.51
2025,5106,2025-07-25,10404.4
2025,5478,2025-08-12,1806.5
2025,5548,2025-08-15,53747.7
2025,5836,2025-08-28,8610
2025,7004,2025-10-27,4276.7
2025,7449,2025-11-13,8775
2025,7621,2025-11-27,21300
2025,7447,2025-11-13,7672.6
2025,7448,2025-11-13,26681.25
2025,7835,2025-12-05,29105.79
2025,7834,2025-12-05,2347.1
