anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,193,2025-01-02,55000
2025,169,2025-01-02,15000
2025,151,2025-01-02,55000
2025,1557,2025-02-21,104.13
2025,1584,2025-02-24,1266.8
2025,1807,2025-02-27,108.07
2025,2458,2025-03-28,108.07
2025,3107,2025-04-29,108.07
2025,3507,2025-05-21,104.13
2025,3825,2025-05-29,108.07
2025,3395,2025-05-14,904.27
2025,3316,2025-05-08,401.06
2025,4076,2025-06-13,104.13
2025,4555,2025-06-26,108.07
2025,5272,2025-07-30,127.74
2025,5371,2025-08-01,104.13
2025,5550,2025-08-15,104.13
2025,5919,2025-08-28,127.74
2025,6102,2025-09-05,104.13
2025,6260,2025-09-15,104.13
2025,6599,2025-09-29,127.74
2025,6874,2025-10-16,7000
2025,7187,2025-10-30,127.74
2025,7690,2025-11-27,127.74
2025,8184,2025-12-18,127.74
