anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,1054,2025-01-30,43511.48
2025,1796,2025-02-27,44916.69
2025,1695,2025-02-27,13500.54
2025,1693,2025-02-27,1998.3
2025,2333,2025-03-28,8647.62
2025,2421,2025-03-28,5861.83
2025,2062,2025-03-11,1003.72
2025,2451,2025-03-28,43760.93
2025,3011,2025-04-29,293.87
2025,3125,2025-04-29,3226.13
2025,3088,2025-04-29,47242.43
2025,3822,2025-05-29,52672.98
2025,3800,2025-05-29,370.98
2025,4376,2025-06-26,2458.03
2025,4480,2025-06-26,1793.07
2025,4402,2025-06-26,181.61
2025,4551,2025-06-26,47604.98
2025,4467,2025-06-26,19533.48
2025,5268,2025-07-30,51094.94
2025,4757,2025-07-10,23553.08
2025,5148,2025-07-30,3100.94
2025,5291,2025-07-30,1033.67
2025,5769,2025-08-28,4132.97
2025,5916,2025-08-28,52909.99
2025,6444,2025-09-29,2815.16
2025,6618,2025-09-29,5071.46
2025,6549,2025-09-29,48435.7
2025,7058,2025-10-30,3268.75
2025,7176,2025-10-30,45677.73
2025,7052,2025-10-30,10551.47
2025,7686,2025-11-27,46685.14
2025,8164,2025-12-18,46698.35
2025,8061,2025-12-18,4563.39
2025,7926,2025-12-10,21006.99
