anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,321,2024-01-19,79.79
2024,202,2024-01-11,79.79
2024,711,2024-01-31,79.79
2024,647,2024-01-30,5353.12
2024,320,2024-01-19,79.79
2024,121,2024-01-05,635040
2024,28,2024-01-03,50000
2024,228,2024-01-15,79.79
2024,254,2024-01-17,79.79
2024,20,2024-01-03,170.97
2024,18,2024-01-03,79.79
2024,341,2024-01-24,79.79
2024,326,2024-01-22,39.9
2024,164,2024-01-08,1000
2024,161,2024-01-08,79.79
2024,352,2024-01-25,1438.38
2024,371,2024-01-26,24039.41
2024,86,2024-01-05,38391.63
2024,111,2024-01-05,200000
2024,108,2024-01-05,23035.35
2024,328,2024-01-22,79.79
2024,625,2024-01-30,1654.95
2024,351,2024-01-25,3791.57
2024,159,2024-01-08,79.79
2024,188,2024-01-10,79.79
2024,174,2024-01-09,79.79
2024,653,2024-01-30,2725.92
2024,48,2024-01-04,79.79
2024,331,2024-01-22,79.79
2024,385,2024-01-29,4132.94
2024,206,2024-01-12,600
2024,52,2024-01-05,12200.61
2024,93,2024-01-05,27483.77
2024,243,2024-01-16,79.79
2024,175,2024-01-09,79.79
2024,5,2024-01-02,195000
2024,283,2024-01-18,941.04
2024,242,2024-01-16,79.79
2024,53,2024-01-05,39.9
2024,83,2024-01-05,3500
2024,17,2024-01-03,79.79
2024,189,2024-01-10,79.79
2024,116,2024-01-05,2401.59
2024,19,2024-01-03,79.79
2024,203,2024-01-11,39.9
2024,106,2024-01-05,32829.32
2024,656,2024-01-30,13371.61
2024,318,2024-01-19,39.9
2024,655,2024-01-30,1670.47
2024,95,2024-01-05,27000
2024,490,2024-01-30,233.5
2024,315,2024-01-19,39.9
2024,503,2024-01-30,317.63
2024,285,2024-01-18,14610
2024,77,2024-01-05,15000
2024,1,2024-01-02,9360
2024,15,2024-01-03,79.79
2024,363,2024-01-26,3110.02
2024,346,2024-01-25,79.79
2024,21,2024-01-03,120000
2024,156,2024-01-08,39.9
2024,4,2024-01-02,445500
2024,269,2024-01-18,79.79
2024,265,2024-01-18,79.79
2024,85,2024-01-05,17210
2024,45,2024-01-03,37.31
2024,382,2024-01-26,39.9
2024,327,2024-01-22,39.9
