anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,1755,2025-02-27,4996.79
2025,1776,2025-02-27,122726.23
2025,1683,2025-02-27,11024.03
2025,2467,2025-03-28,11300.18
2025,2445,2025-03-28,130692.11
2025,3067,2025-04-29,508.01
2025,3038,2025-04-29,2490.25
2025,3084,2025-04-29,140178.14
2025,3013,2025-04-29,2830.47
2025,3817,2025-05-29,162784.06
2025,3755,2025-05-29,6297.96
2025,3657,2025-05-29,4616.2
2025,4430,2025-06-26,2240.99
2025,4364,2025-06-26,7843.17
2025,4342,2025-06-26,127.09
2025,4590,2025-06-26,164610.88
2025,4582,2025-06-26,6274.78
2025,5186,2025-07-30,16168.18
2025,5248,2025-07-30,157031.05
2025,4791,2025-07-10,77527.67
2025,5179,2025-07-30,4497.04
2025,5143,2025-07-30,5810.71
2025,5254,2025-07-30,4165.15
2025,5856,2025-08-28,4398.63
2025,5912,2025-08-28,163121.21
2025,5777,2025-08-28,4273.93
2025,6484,2025-09-29,4039.56
2025,6532,2025-09-29,4274.02
2025,6544,2025-09-29,163261.65
2025,6441,2025-09-29,1421.25
2025,7170,2025-10-30,150286.21
2025,7153,2025-10-30,2383.86
2025,7023,2025-10-30,3984.87
2025,6714,2025-10-10,2746.62
2025,7581,2025-11-27,5219.26
2025,7677,2025-11-27,155975.44
2025,7657,2025-11-27,3358.3
2025,8158,2025-12-18,177449.2
2025,8137,2025-12-18,3403.08
2025,7955,2025-12-10,79547.18
2025,8059,2025-12-18,47900.5
