anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2026,304,2026-01-02,3229.19
2026,303,2026-01-02,195588.79
2026,314,2026-01-02,44662.83
2026,318,2026-01-02,617653.92
2026,313,2026-01-02,675999.11
2026,772,2026-01-20,271337
2026,769,2026-01-20,314930
2026,1297,2026-02-09,108.39
2026,1497,2026-02-24,108.39
2026,1419,2026-02-20,158656
2026,1300,2026-02-10,108.39
2026,1418,2026-02-20,128430
2026,2047,2026-03-20,42400
2026,2147,2026-03-26,1504104.96
2026,2050,2026-03-20,150500
2026,2012,2026-03-18,108.39
2026,2048,2026-03-20,21200
2026,2057,2026-03-20,2960
2026,2852,2026-04-14,23732.97
