anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,569,2024-01-04,37.31
2024,60,2024-01-02,37.31
2024,151,2024-01-02,37.31
2024,570,2024-01-04,37.31
2024,619,2024-01-09,37.31
2024,576,2024-01-05,37.31
2024,1297,2024-02-13,37.31
2024,1296,2024-02-13,37.31
2024,1521,2024-02-28,37.31
2024,1163,2024-02-06,37.31
2024,2425,2024-03-27,37.31
2024,2426,2024-03-27,37.31
2024,3195,2024-04-29,37.31
2024,2461,2024-04-01,37.31
2024,3196,2024-04-29,37.31
2024,2583,2024-04-08,37.31
2024,2462,2024-04-01,37.31
2024,2945,2024-04-24,37.31
2024,3034,2024-04-29,399
2024,2769,2024-04-18,79.79
2024,2726,2024-04-16,37.31
2024,2641,2024-04-12,37.31
2024,4333,2024-06-26,16656.18
2024,4033,2024-06-12,37.31
2024,4941,2024-07-18,37.31
2024,4942,2024-07-18,37.31
2024,5868,2024-08-28,37.31
2024,5867,2024-08-28,37.31
2024,5673,2024-08-19,37.31
2024,5609,2024-08-14,37.31
2024,5790,2024-08-26,37.31
2024,5791,2024-08-26,37.31
2024,5674,2024-08-19,37.31
2024,5675,2024-08-19,37.31
2024,5676,2024-08-19,37.31
2024,6316,2024-09-12,37.31
2024,6561,2024-09-26,37.31
2024,6503,2024-09-20,980
2024,6560,2024-09-26,37.31
2024,6318,2024-09-12,37.31
2024,6377,2024-09-16,37.31
2024,6213,2024-09-09,79.79
2024,6467,2024-09-19,37.31
2024,6317,2024-09-12,37.31
2024,7428,2024-10-30,37.31
2024,7430,2024-10-30,37.31
2024,7429,2024-10-30,37.31
2024,6830,2024-10-03,37.31
2024,7431,2024-10-30,37.31
2024,8162,2024-11-28,37.31
2024,8787,2024-12-30,37.07
2024,8372,2024-12-10,300
2024,8761,2024-12-19,37.31
