anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,545,2023-01-30,40342.34
2023,1001,2023-02-27,18080.86
2023,1004,2023-02-27,30000
2023,1394,2023-03-30,17493.03
2023,1397,2023-03-30,30000
2023,1769,2023-04-27,40801.18
2023,2198,2023-05-31,40176.35
2023,2561,2023-06-29,40682.34
2023,2975,2023-07-27,38561.89
2023,2671,2023-07-06,17438.04
2023,3382,2023-08-30,38161.61
2023,3777,2023-09-28,42841.53
2023,3882,2023-10-06,441.25
2023,4195,2023-10-27,26982.79
2023,4205,2023-10-27,17121.88
2023,4620,2023-11-29,88.25
2023,4616,2023-11-29,37116.07
2023,4644,2023-11-29,6319.19
2023,4636,2023-11-29,6019.41
2023,5035,2023-12-22,88.25
2023,4782,2023-12-07,20322.29
2023,5024,2023-12-22,3236.8
2023,5039,2023-12-22,23250.04
2023,4960,2023-12-21,4377.06
2023,4788,2023-12-07,1682.44
2023,5030,2023-12-22,16751.96
