anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,33,2025-01-28,5409
2025,31,2025-01-23,79.79
2025,25,2025-01-22,1150
2025,26,2025-01-22,4900
2025,27,2025-01-22,11000
2025,19,2025-01-02,32800
2025,30,2025-01-23,12200
2025,43,2025-02-12,8000
2025,62,2025-02-21,1500
2025,42,2025-02-12,10000
2025,36,2025-02-04,79.79
2025,57,2025-02-18,1650
2025,41,2025-02-12,8000
2025,49,2025-02-14,4500
2025,44,2025-02-12,6800
2025,68,2025-02-28,79.79
2025,40,2025-02-10,9400
2025,61,2025-02-21,200
2025,65,2025-02-27,11900
2025,39,2025-02-07,79.79
2025,67,2025-02-28,4000
2025,45,2025-02-13,500
2025,48,2025-02-13,3400
2025,56,2025-02-17,535.71
2025,35,2025-02-04,4100
2025,60,2025-02-21,950
2025,58,2025-02-18,6000
2025,63,2025-02-21,79.79
2025,38,2025-02-05,79.79
2025,70,2025-02-28,1500
2025,50,2025-02-14,239.37
2025,66,2025-02-27,1200
2025,64,2025-02-26,2500
2025,95,2025-03-18,5850
2025,84,2025-03-11,4700
2025,112,2025-03-25,6000
2025,73,2025-03-05,79.79
2025,108,2025-03-20,10000
2025,76,2025-03-05,2520
2025,97,2025-03-19,79.79
2025,81,2025-03-11,1500
2025,98,2025-03-19,79.79
2025,106,2025-03-20,1300
2025,115,2025-03-31,79.79
2025,116,2025-03-31,79.79
2025,102,2025-03-19,12500
2025,78,2025-03-06,239.37
2025,71,2025-03-03,5000
2025,82,2025-03-11,79.79
2025,99,2025-03-19,79.79
2025,118,2025-03-31,5000
2025,117,2025-03-31,79.79
2025,120,2025-03-31,15210
2025,79,2025-03-06,239.37
2025,92,2025-03-14,500
2025,88,2025-03-14,79.79
2025,105,2025-03-20,9420
2025,77,2025-03-05,6000
2025,111,2025-03-21,3500
2025,89,2025-03-14,102.58
2025,110,2025-03-21,32000
2025,119,2025-03-31,8500
2025,107,2025-03-20,4750
2025,83,2025-03-11,79.79
2025,90,2025-03-14,4500
2025,85,2025-03-11,6850
2025,72,2025-03-05,79.79
2025,109,2025-03-20,2500
2025,75,2025-03-05,3250
2025,114,2025-03-31,79.79
2025,80,2025-03-10,1200
2025,87,2025-03-13,159.58
2025,86,2025-03-13,3500
2025,100,2025-03-19,79.79
2025,101,2025-03-19,79.79
2025,96,2025-03-19,12400
2025,74,2025-03-05,79.79
2025,91,2025-03-14,79.79
2025,146,2025-04-22,6050
2025,169,2025-04-30,102.58
2025,122,2025-04-04,79.79
2025,170,2025-04-30,79.79
2025,148,2025-04-24,8000
2025,158,2025-04-28,17000
2025,135,2025-04-11,12000
2025,136,2025-04-11,672.48
2025,152,2025-04-25,79.79
2025,124,2025-04-04,79.79
2025,147,2025-04-22,11200
2025,127,2025-04-04,5000
2025,145,2025-04-22,17000
2025,144,2025-04-22,17000
2025,137,2025-04-14,2000000
2025,165,2025-04-30,79.79
2025,157,2025-04-28,12000
2025,150,2025-04-24,17920
2025,132,2025-04-09,2000
2025,166,2025-04-30,79.79
2025,123,2025-04-04,79.79
2025,163,2025-04-30,79.79
2025,168,2025-04-30,102.58
2025,153,2025-04-25,5500
2025,167,2025-04-30,79.79
2025,121,2025-04-04,79.79
2025,134,2025-04-11,79.79
2025,154,2025-04-25,6000
2025,149,2025-04-24,1518
2025,162,2025-04-30,79.79
2025,128,2025-04-04,307.75
2025,164,2025-04-30,79.79
2025,133,2025-04-09,5500
2025,126,2025-04-04,535.71
2025,125,2025-04-04,159.58
2025,159,2025-04-28,17000
2025,160,2025-04-28,102.58
2025,161,2025-04-28,79.79
2025,131,2025-04-09,9340
2025,130,2025-04-07,79.79
2025,206,2025-05-21,5000
2025,197,2025-05-16,39.9
2025,203,2025-05-20,10000
2025,191,2025-05-14,4000
2025,204,2025-05-21,535.71
2025,182,2025-05-09,79.79
2025,229,2025-05-30,79.79
2025,198,2025-05-19,79.79
2025,211,2025-05-23,20000
2025,228,2025-05-30,5950
2025,194,2025-05-15,79.79
2025,179,2025-05-08,79.79
2025,188,2025-05-13,6000
2025,210,2025-05-23,307.74
2025,183,2025-05-09,79.79
2025,213,2025-05-23,79.79
2025,178,2025-05-08,79.79
2025,184,2025-05-09,79.79
2025,212,2025-05-23,2800
2025,172,2025-05-05,159.58
2025,221,2025-05-28,79.79
2025,177,2025-05-08,3000
2025,205,2025-05-21,239.37
2025,218,2025-05-28,3000
2025,190,2025-05-14,4000
2025,225,2025-05-30,2000
2025,224,2025-05-29,2500
2025,185,2025-05-13,39.9
2025,207,2025-05-22,102.58
2025,174,2025-05-07,1200
2025,175,2025-05-08,7500
2025,173,2025-05-07,4340
2025,215,2025-05-23,79.79
2025,216,2025-05-26,170.97
2025,222,2025-05-28,79.79
2025,181,2025-05-09,11000
2025,217,2025-05-28,18339.46
2025,223,2025-05-29,159.58
2025,208,2025-05-23,79.79
2025,187,2025-05-13,79.79
2025,193,2025-05-15,79.79
2025,200,2025-05-20,79.79
2025,220,2025-05-28,79.79
2025,209,2025-05-23,14728
2025,202,2025-05-20,79.79
2025,201,2025-05-20,79.79
2025,226,2025-05-30,2500
2025,192,2025-05-15,79.79
2025,189,2025-05-14,2000
2025,186,2025-05-13,39.9
2025,219,2025-05-28,35000
2025,176,2025-05-08,5000
2025,214,2025-05-23,79.79
2025,199,2025-05-19,170.97
2025,180,2025-05-08,79.79
2025,227,2025-05-30,17000
2025,196,2025-05-16,39.9
2025,246,2025-06-06,79.79
2025,251,2025-06-09,398.95
2025,249,2025-06-09,79.79
2025,237,2025-06-03,17000
2025,232,2025-06-02,159.58
2025,255,2025-06-11,43.31
2025,252,2025-06-09,398.95
2025,260,2025-06-13,79.79
2025,268,2025-06-16,6500
2025,240,2025-06-03,2500
2025,274,2025-06-20,79.79
2025,243,2025-06-06,2500
2025,261,2025-06-13,2000
2025,235,2025-06-02,79.79
2025,253,2025-06-09,79.79
2025,238,2025-06-03,17000
2025,270,2025-06-16,79.79
2025,264,2025-06-13,4554.26
2025,265,2025-06-13,10500
2025,250,2025-06-09,79.79
2025,254,2025-06-10,79.79
2025,263,2025-06-13,3000
2025,239,2025-06-03,17000
2025,245,2025-06-06,17000
2025,247,2025-06-06,79.79
2025,233,2025-06-02,79.79
2025,266,2025-06-16,79.79
2025,242,2025-06-05,79.79
2025,248,2025-06-06,79.79
2025,256,2025-06-11,43.31
2025,230,2025-06-02,535.71
2025,231,2025-06-02,239.37
2025,279,2025-06-24,79.79
2025,241,2025-06-04,7340
2025,234,2025-06-02,79.79
2025,272,2025-06-18,79.79
2025,273,2025-06-18,307.75
2025,267,2025-06-16,79.79
2025,262,2025-06-13,7600
2025,280,2025-06-30,8000
2025,257,2025-06-12,2200
2025,269,2025-06-16,1400
2025,285,2025-07-01,4300
2025,322,2025-07-16,79.79
2025,287,2025-07-01,5750
2025,286,2025-07-01,3450
2025,293,2025-07-03,39.9
