anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2026,227,2026-01-29,2670.5
2026,221,2026-01-29,293060.86
2026,202,2026-01-29,808.16
2026,216,2026-01-29,24387.99
2026,205,2026-01-29,6283.76
2026,220,2026-01-29,1648.8
2026,219,2026-01-29,32192.16
2026,4,2026-01-02,500000
2026,285,2026-02-26,288138.4
2026,296,2026-02-26,3902.16
2026,286,2026-02-26,29867.84
2026,282,2026-02-26,10368.09
2026,283,2026-02-26,4475.31
2026,345,2026-03-30,4275.61
2026,332,2026-03-30,7767.14
2026,337,2026-03-30,21071.01
2026,335,2026-03-30,308585.97
