anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,1096,2024-01-30,81210.08
2024,1089,2024-01-30,2310.91
2024,1642,2024-02-28,272.87
2024,1561,2024-02-28,1829.95
2024,1647,2024-02-28,85205.38
2024,2232,2024-03-27,28032.08
2024,2354,2024-03-27,3702.88
2024,2381,2024-03-27,81862
2024,3132,2024-04-29,72260.01
2024,2994,2024-04-29,1253.57
2024,3146,2024-04-29,1008.85
2024,3759,2024-05-29,3760.71
2024,3741,2024-05-29,84125.63
2024,3679,2024-05-29,1397.34
2024,4513,2024-06-27,1497.15
2024,4432,2024-06-27,2709.85
2024,4486,2024-06-27,86907.46
2024,5260,2024-07-31,81066.76
2024,5232,2024-07-31,7129
2024,4676,2024-07-03,43737.6
2024,5154,2024-07-30,14710.84
2024,5929,2024-08-29,1959.08
2024,5504,2024-08-08,3175.35
2024,6049,2024-08-29,85243.52
2024,6068,2024-08-29,5792.1
2024,5490,2024-08-08,722.91
2024,6715,2024-09-27,88550.6
2024,6598,2024-09-27,3412.82
2024,6664,2024-09-27,1462.15
2024,7246,2024-10-30,1498.05
2024,7348,2024-10-30,85143.46
2024,7418,2024-10-30,7008.77
2024,8077,2024-11-28,88674.6
2024,8122,2024-11-28,5155.78
2024,8615,2024-12-19,2568.09
2024,8661,2024-12-19,2448.71
2024,8252,2024-12-05,47333.52
2024,8639,2024-12-19,94848.1
