anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,939,2023-01-30,24288.04
2023,1471,2023-02-27,21776.87
2023,2103,2023-03-30,26429.58
2023,2695,2023-04-27,1249.69
2023,2678,2023-04-27,23484.68
2023,3456,2023-05-31,24695.95
2023,4193,2023-06-29,31484.25
2023,4445,2023-07-06,13320.28
2023,4840,2023-07-27,21709.78
2023,5527,2023-08-30,21709.78
2023,6215,2023-09-28,733.62
2023,6171,2023-09-28,1176.71
2023,6174,2023-09-28,18995.39
2023,6751,2023-10-27,6469.61
2023,6736,2023-10-27,21142.96
2023,7423,2023-11-29,19508.92
2023,7680,2023-12-07,9863.55
2023,7982,2023-12-22,19508.92
