anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,542,2023-01-30,1435.43
2023,540,2023-01-30,166740.23
2023,997,2023-02-27,998.73
2023,985,2023-02-27,609.24
2023,994,2023-02-27,170044.21
2023,992,2023-02-27,1218.48
2023,1388,2023-03-30,209225.99
2023,1763,2023-04-27,197381.13
2023,2193,2023-05-31,177813.76
2023,2181,2023-05-31,726.28
2023,2191,2023-05-31,6465.72
2023,2545,2023-06-29,2098.04
2023,2553,2023-06-29,5104.44
2023,2555,2023-06-29,182035.6
2023,2558,2023-06-29,1058.4
2023,2660,2023-07-06,70756.49
2023,2955,2023-07-27,17252.63
2023,2966,2023-07-27,190408.79
2023,2964,2023-07-27,33200.26
2023,3378,2023-08-30,180894.18
2023,3767,2023-09-28,182010.13
2023,4180,2023-10-27,197498.18
2023,4649,2023-11-29,3301.79
2023,4613,2023-11-29,216909
2023,4962,2023-12-21,77662.03
2023,4770,2023-12-07,98816.14
