anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,417,2024-01-30,17300
2024,414,2024-01-30,16732.18
2024,421,2024-01-30,2927.5
2024,420,2024-01-30,22008.14
2024,416,2024-01-30,43263.32
2024,419,2024-01-30,2213.99
2024,423,2024-01-30,5563.96
2024,426,2024-01-30,2778.2
2024,425,2024-01-30,9928.39
2024,415,2024-01-30,11307.15
2024,368,2024-01-26,10000
2024,427,2024-01-30,1189.86
2024,418,2024-01-30,26107.1
2024,413,2024-01-30,636.58
2024,422,2024-01-30,6756.1
2024,967,2024-02-26,2732
2024,899,2024-02-20,30000
2024,1069,2024-02-28,2811.04
2024,900,2024-02-20,30000
2024,1018,2024-02-28,358.08
2024,1517,2024-03-27,2811.04
2024,1326,2024-03-13,4070
2024,1652,2024-04-03,5000
2024,1660,2024-04-03,15664
2024,2024,2024-04-29,2811.04
2024,1656,2024-04-03,6175
2024,2396,2024-05-28,426
2024,2386,2024-05-28,395
2024,2418,2024-05-28,320
2024,2410,2024-05-28,69.2
2024,2408,2024-05-28,1950
2024,2415,2024-05-28,2387.2
2024,2409,2024-05-28,214.95
2024,2420,2024-05-28,258
2024,2406,2024-05-28,422.5
2024,2421,2024-05-28,824.3
2024,2090,2024-05-02,4750
2024,2395,2024-05-28,1119
2024,2392,2024-05-28,7187.5
2024,2412,2024-05-28,1243
2024,2389,2024-05-28,1767.95
2024,2221,2024-05-14,7000
2024,2518,2024-05-29,2811.04
2024,2963,2024-06-27,2811.04
2024,2659,2024-06-11,1202.5
2024,3237,2024-07-17,261.75
2024,3040,2024-07-01,2002.1
2024,3046,2024-07-01,5000
2024,3438,2024-07-31,3477.2
2024,3038,2024-07-01,322.45
2024,3484,2024-07-31,1400
2024,3355,2024-07-24,2016.06
2024,3435,2024-07-31,3674.8
2024,3437,2024-07-31,1063.5
2024,3434,2024-07-31,2841.5
2024,3439,2024-07-31,8828
2024,3044,2024-07-01,594.3
2024,3042,2024-07-01,3948.35
2024,3433,2024-07-31,1000
2024,3436,2024-07-31,867.7
2024,3047,2024-07-01,850
2024,3037,2024-07-01,363.9
2024,3043,2024-07-01,2156.8
2024,3850,2024-08-26,2990.65
2024,3716,2024-08-14,9837.45
2024,3754,2024-08-16,6359.66
2024,3855,2024-08-26,17990
2024,3853,2024-08-26,1074.95
2024,3948,2024-08-29,5599.83
2024,3688,2024-08-12,2700
2024,3770,2024-08-16,261.75
2024,4202,2024-09-12,1265.6
2024,4290,2024-09-19,873.45
2024,4451,2024-09-27,2811.04
2024,4199,2024-09-12,13060.5
2024,4198,2024-09-12,3743.1
2024,4351,2024-09-24,261.75
2024,4200,2024-09-12,7905.5
2024,4206,2024-09-12,2261.31
2024,4203,2024-09-12,628.12
2024,4205,2024-09-12,16970.47
2024,4296,2024-09-19,1621.97
2024,4745,2024-10-17,696
2024,4720,2024-10-16,1137.55
2024,4901,2024-10-30,4211.04
2024,4710,2024-10-16,296.65
2024,4740,2024-10-17,4794.4
2024,4744,2024-10-17,1759.3
2024,4794,2024-10-23,174.5
2024,4746,2024-10-17,748.81
2024,4862,2024-10-30,3000
2024,4739,2024-10-17,1975
2024,4743,2024-10-17,190
2024,4853,2024-10-30,4000
2024,4725,2024-10-16,459.6
2024,4704,2024-10-16,3300.2
2024,4750,2024-10-17,241.6
2024,5253,2024-11-26,122.15
2024,5108,2024-11-13,289.23
2024,5102,2024-11-13,355
2024,5113,2024-11-13,2141.4
2024,5329,2024-11-28,4211.04
2024,5006,2024-11-04,4476
2024,5581,2024-12-12,465.06
2024,5541,2024-12-09,18486.9
2024,5491,2024-12-06,650
2024,5527,2024-12-09,1408.35
2024,5732,2024-12-19,2811.04
2024,5478,2024-12-06,5819.56
2024,5589,2024-12-12,296.65
2024,5482,2024-12-06,296.65
