anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,310,2025-01-09,43.41
2025,70,2025-01-07,43.31
2025,445,2025-01-15,79.79
2025,42,2025-01-03,79.79
2025,548,2025-01-22,79.79
2025,665,2025-01-23,79.79
2025,800,2025-01-30,39.9
2025,228,2025-01-08,10654.4
2025,45,2025-01-03,39.9
2025,142,2025-01-08,53500
2025,333,2025-01-10,79.79
2025,578,2025-01-22,43.41
2025,394,2025-01-14,307.75
2025,154,2025-01-08,55916.67
2025,784,2025-01-30,203.57
2025,668,2025-01-23,79.79
2025,561,2025-01-22,43.41
2025,712,2025-01-28,39.9
2025,159,2025-01-08,178577.23
2025,520,2025-01-17,39.9
2025,361,2025-01-13,43.41
2025,334,2025-01-10,79.79
2025,801,2025-01-30,39.9
2025,449,2025-01-16,79.79
2025,43,2025-01-03,79.79
2025,222,2025-01-08,164177.4
2025,98,2025-01-08,4302.5
2025,305,2025-01-09,39.9
2025,738,2025-01-28,267
2025,120,2025-01-08,37674.33
2025,234,2025-01-08,23000
2025,67,2025-01-07,1000
2025,667,2025-01-23,79.79
2025,644,2025-01-22,83962.22
2025,540,2025-01-21,39.9
2025,539,2025-01-21,79.79
2025,880,2025-01-31,39.9
2025,757,2025-01-29,79.79
2025,728,2025-01-28,152
2025,679,2025-01-24,400000
2025,871,2025-01-31,79.79
2025,695,2025-01-24,39.9
2025,788,2025-01-30,278.56
2025,430,2025-01-15,1633.07
2025,52,2025-01-03,39.9
2025,210,2025-01-08,674090.44
2025,752,2025-01-29,79.79
2025,66,2025-01-07,1000
2025,349,2025-01-13,307.75
2025,861,2025-01-30,1626.14
2025,97,2025-01-08,3750
2025,151,2025-01-08,50000
2025,551,2025-01-22,79.79
2025,859,2025-01-30,130996.76
2025,544,2025-01-22,2094.45
2025,332,2025-01-10,79.79
2025,870,2025-01-30,43.41
2025,577,2025-01-22,43.41
2025,799,2025-01-30,79.79
2025,69,2025-01-07,43.31
2025,176,2025-01-08,100737.92
2025,832,2025-01-30,4792.92
2025,26,2025-01-02,50000
2025,230,2025-01-08,20000
2025,444,2025-01-15,79.79
2025,523,2025-01-17,79.79
2025,587,2025-01-22,43.41
2025,167,2025-01-08,21155.12
2025,869,2025-01-30,43.41
2025,487,2025-01-16,43.41
2025,584,2025-01-22,5074.33
2025,406,2025-01-14,43.41
2025,817,2025-01-30,4323.61
2025,690,2025-01-24,39.9
2025,518,2025-01-17,39.9
2025,79,2025-01-08,79.79
2025,802,2025-01-30,39.9
2025,402,2025-01-14,43.41
2025,876,2025-01-31,79.79
2025,567,2025-01-22,43.41
2025,715,2025-01-28,39.9
2025,343,2025-01-10,43.41
2025,827,2025-01-30,497.87
2025,144,2025-01-08,56490
2025,73,2025-01-08,102395.49
2025,685,2025-01-24,79.79
2025,863,2025-01-30,266.66
2025,352,2025-01-13,79.79
2025,588,2025-01-22,164072.73
2025,486,2025-01-16,43.41
2025,60,2025-01-07,1000
2025,175,2025-01-08,76339.5
2025,559,2025-01-22,43.41
2025,883,2025-01-31,39.9
2025,576,2025-01-22,43.41
2025,708,2025-01-27,39.9
2025,443,2025-01-15,79.79
2025,403,2025-01-14,43.41
2025,581,2025-01-22,32815.09
2025,553,2025-01-22,39.9
2025,877,2025-01-31,39.9
2025,428,2025-01-15,250.84
2025,388,2025-01-14,2100
2025,148,2025-01-08,34515.6
2025,348,2025-01-13,307.75
2025,322,2025-01-09,43.41
2025,54,2025-01-03,43.31
2025,835,2025-01-30,14534.33
2025,44,2025-01-03,39.9
2025,177,2025-01-08,6694
2025,323,2025-01-09,43.41
2025,357,2025-01-13,43.41
2025,229,2025-01-08,80651.89
2025,64,2025-01-07,1000
2025,448,2025-01-16,39.9
2025,38,2025-01-03,79.79
2025,303,2025-01-09,79.79
2025,703,2025-01-27,79.79
2025,881,2025-01-31,39.9
2025,77,2025-01-08,79.79
2025,83,2025-01-08,43.31
2025,879,2025-01-31,39.9
2025,556,2025-01-22,43.41
2025,814,2025-01-30,9637.14
2025,216,2025-01-08,55021
2025,826,2025-01-30,447.2
2025,401,2025-01-14,39.9
2025,58,2025-01-03,39.9
2025,874,2025-01-31,79.79
2025,542,2025-01-21,39.9
2025,1,2025-01-02,72000
2025,327,2025-01-10,39.9
2025,321,2025-01-09,43.41
2025,670,2025-01-23,39.9
2025,774,2025-01-30,911.21
2025,205,2025-01-08,23030.19
2025,434,2025-01-15,1722.67
2025,692,2025-01-24,39.9
2025,156,2025-01-08,40385.65
2025,355,2025-01-13,39.9
2025,451,2025-01-16,79.79
2025,579,2025-01-22,43.41
2025,236,2025-01-08,172711.95
2025,306,2025-01-09,39.9
2025,600,2025-01-22,1408.35
2025,860,2025-01-30,77171.88
2025,709,2025-01-27,39.9
2025,55,2025-01-03,43.31
2025,704,2025-01-27,79.79
2025,57,2025-01-03,39.9
2025,19,2025-01-02,50000
2025,716,2025-01-28,39.9
2025,125,2025-01-08,681765.92
2025,87,2025-01-08,43.31
2025,687,2025-01-24,79.79
2025,543,2025-01-22,5001.04
2025,405,2025-01-14,43.41
2025,804,2025-01-30,39.9
2025,68,2025-01-07,43.31
2025,438,2025-01-15,19000.34
2025,104,2025-01-08,43.41
2025,557,2025-01-22,43.41
2025,798,2025-01-30,79.79
2025,78,2025-01-08,79.79
2025,400,2025-01-14,39.9
2025,39,2025-01-03,79.79
2025,722,2025-01-28,10000
2025,231,2025-01-08,51035.58
2025,591,2025-01-22,25371.24
2025,519,2025-01-17,39.9
2025,166,2025-01-08,124792.57
2025,102,2025-01-08,1294478.91
2025,830,2025-01-30,30646.24
2025,742,2025-01-28,500
2025,5,2025-01-02,2000
2025,803,2025-01-30,79.79
2025,398,2025-01-14,79.79
2025,833,2025-01-30,201135.93
2025,139,2025-01-08,43.41
2025,541,2025-01-21,39.9
2025,369,2025-01-14,20609.37
2025,816,2025-01-30,8438.15
2025,99,2025-01-08,98460.53
2025,246,2025-01-08,5000
2025,878,2025-01-31,39.9
2025,180,2025-01-08,690165.58
2025,569,2025-01-22,43.41
2025,705,2025-01-27,79.79
2025,702,2025-01-27,79.79
2025,713,2025-01-28,39.9
2025,209,2025-01-08,43657.39
2025,150,2025-01-08,778175.44
2025,751,2025-01-29,79.79
2025,563,2025-01-22,43.41
2025,40,2025-01-03,79.79
2025,41,2025-01-03,79.79
2025,309,2025-01-09,43.41
2025,806,2025-01-30,496.99
2025,689,2025-01-24,39.9
2025,570,2025-01-22,43.41
2025,71,2025-01-08,120000
2025,782,2025-01-30,96.43
2025,524,2025-01-17,79.79
2025,302,2025-01-09,79.79
2025,51,2025-01-03,39.9
2025,47,2025-01-03,39.9
2025,389,2025-01-14,6300
2025,527,2025-01-20,39.9
2025,76,2025-01-08,39.9
2025,568,2025-01-22,43.41
2025,733,2025-01-28,1000
2025,549,2025-01-22,79.79
2025,393,2025-01-14,307.75
2025,562,2025-01-22,43.41
2025,304,2025-01-09,39.9
2025,838,2025-01-30,1767.81
2025,754,2025-01-29,39.9
2025,331,2025-01-10,79.79
2025,573,2025-01-22,43.41
2025,536,2025-01-21,79.79
2025,555,2025-01-22,43.41
2025,301,2025-01-09,79.79
2025,560,2025-01-22,79.79
2025,694,2025-01-24,39.9
2025,95,2025-01-08,50000
2025,773,2025-01-30,289.29
2025,629,2025-01-22,15044.92
2025,850,2025-01-30,15138.97
2025,3,2025-01-02,10000
2025,170,2025-01-08,778265.92
2025,233,2025-01-08,27483.77
2025,80,2025-01-08,79.79
2025,338,2025-01-10,39.9
2025,85,2025-01-08,43.31
2025,391,2025-01-14,115290
2025,697,2025-01-24,4134
2025,671,2025-01-23,39.9
2025,103,2025-01-08,43.41
2025,535,2025-01-21,79.79
2025,756,2025-01-29,79.79
2025,335,2025-01-10,79.79
2025,56,2025-01-03,79.79
2025,399,2025-01-14,79.79
2025,809,2025-01-30,4221.14
2025,390,2025-01-14,114000
2025,404,2025-01-14,43.41
2025,171,2025-01-08,59496.68
2025,885,2025-01-31,43.41
2025,748,2025-01-28,500
2025,223,2025-01-08,13200
2025,138,2025-01-08,83291.93
2025,707,2025-01-27,79.79
2025,565,2025-01-22,43.41
2025,211,2025-01-08,54979
2025,4,2025-01-02,2000
2025,239,2025-01-08,11534.2
2025,674,2025-01-23,43.41
2025,550,2025-01-22,79.79
2025,688,2025-01-24,79.79
2025,710,2025-01-28,79.79
2025,531,2025-01-20,79.79
2025,529,2025-01-20,79.79
2025,446,2025-01-15,79.79
2025,575,2025-01-22,43.41
2025,780,2025-01-30,198.8
2025,134,2025-01-08,143448
2025,34,2025-01-03,25516.7
2025,872,2025-01-31,79.79
2025,336,2025-01-10,39.9
2025,145,2025-01-08,44402.45
2025,225,2025-01-08,125629.79
2025,714,2025-01-28,39.9
2025,840,2025-01-30,40168.7
2025,86,2025-01-08,43.31
2025,488,2025-01-16,43.41
2025,547,2025-01-22,79.79
2025,530,2025-01-20,79.79
2025,564,2025-01-22,43.41
2025,849,2025-01-30,9261.52
2025,241,2025-01-08,9403
2025,580,2025-01-22,43.41
2025,884,2025-01-31,39.9
2025,706,2025-01-27,79.79
