anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,754,2023-01-24,5000
2023,755,2023-01-24,21374
2023,120,2023-01-02,11703.3
2023,287,2023-01-03,22651.56
2023,218,2023-01-02,309465
2023,674,2023-01-20,2000
2023,302,2023-01-03,27259.87
2023,548,2023-01-13,36966.36
2023,1436,2023-02-27,20635.68
2023,1085,2023-02-02,76000
2023,1084,2023-02-02,56000
2023,1354,2023-02-20,66181.73
2023,1255,2023-02-14,87750
2023,1135,2023-02-06,6925
2023,1353,2023-02-20,121197.2
2023,1571,2023-02-28,8264
2023,1160,2023-02-08,10260
2023,1583,2023-03-01,5250
2023,1739,2023-03-10,19366.74
2023,1638,2023-03-06,142.69
2023,2031,2023-03-28,102.58
2023,1999,2023-03-24,8700
2023,2614,2023-04-25,1827
2023,2311,2023-04-06,1369
2023,2328,2023-04-06,2395.72
2023,3202,2023-05-19,438.28
2023,2875,2023-05-04,7200
2023,2897,2023-05-04,840
2023,3532,2023-05-31,213.36
2023,3369,2023-05-26,7800
2023,2836,2023-05-02,100
2023,2872,2023-05-04,6303
2023,3028,2023-05-10,689.46
2023,4053,2023-06-22,3000
2023,4007,2023-06-21,24523.14
2023,3945,2023-06-19,3500
2023,3615,2023-06-05,6000
2023,4006,2023-06-21,38578.08
2023,3713,2023-06-09,100000
2023,4075,2023-06-23,900
2023,4393,2023-07-05,600
2023,4392,2023-07-05,3044.72
2023,5284,2023-08-14,148.42
2023,5329,2023-08-17,6178
2023,5610,2023-08-30,79.79
2023,6105,2023-09-27,156.19
2023,6269,2023-09-29,3000
2023,5873,2023-09-14,3222
2023,5953,2023-09-19,862.23
2023,5872,2023-09-14,6958.8
2023,5952,2023-09-19,583.13
2023,5896,2023-09-15,6177.08
2023,5951,2023-09-19,632.35
2023,5950,2023-09-19,905.13
2023,6649,2023-10-24,102.04
2023,6382,2023-10-06,6000
2023,6892,2023-11-01,102.58
2023,7780,2023-12-15,4087.19
2023,7779,2023-12-15,6429.68
2023,7596,2023-12-01,104.13
