anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,101,2024-01-02,200000
2024,140,2024-01-02,95000
2024,139,2024-01-02,205000
2024,138,2024-01-02,660000
2024,103,2024-01-02,300000
2024,104,2024-01-02,300000
2024,1799,2024-03-01,35680
2024,1797,2024-03-01,3200000
2024,1798,2024-03-01,1200000
2024,5964,2024-08-29,1036000
2024,5965,2024-08-29,164000
2024,5966,2024-08-29,12000
2024,7779,2024-11-18,15000
2024,7777,2024-11-18,227497.97
2024,7778,2024-11-18,33100
2024,8760,2024-12-19,150
2024,8759,2024-12-19,449.61
