anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,789,2023-01-25,5032.87
2023,572,2023-01-16,174
2023,1061,2023-01-31,60.13
2023,546,2023-01-13,124.44
2023,569,2023-01-16,374
2023,682,2023-01-23,29.6
2023,563,2023-01-16,450
2023,567,2023-01-16,918.13
2023,633,2023-01-18,698.96
2023,82,2023-01-02,26800.13
2023,812,2023-01-26,648.75
2023,688,2023-01-23,2750.58
2023,316,2023-01-03,9889.48
2023,571,2023-01-16,500
2023,681,2023-01-23,2163.65
2023,684,2023-01-23,32
2023,215,2023-01-02,110000
2023,632,2023-01-18,79.78
2023,793,2023-01-25,7.5
2023,299,2023-01-03,13770
2023,561,2023-01-16,4507.97
2023,811,2023-01-26,543.13
2023,814,2023-01-26,807.7
2023,565,2023-01-16,1293.88
2023,573,2023-01-16,27.72
2023,560,2023-01-16,2159.75
2023,1059,2023-01-31,143.76
2023,564,2023-01-16,60
2023,689,2023-01-23,1123.04
2023,568,2023-01-16,699.88
2023,644,2023-01-18,631.85
2023,562,2023-01-16,508.98
2023,214,2023-01-02,615092.21
2023,570,2023-01-16,171.16
2023,574,2023-01-16,68
2023,687,2023-01-23,3200
2023,792,2023-01-25,10
2023,1060,2023-01-31,1929.6
2023,813,2023-01-26,317.73
2023,552,2023-01-16,2920
2023,553,2023-01-16,56.36
2023,566,2023-01-16,60
2023,791,2023-01-25,27.2
2023,1077,2023-02-01,3138
2023,1372,2023-02-20,66.77
2023,1421,2023-02-24,909.11
2023,1420,2023-02-24,936.2
2023,1173,2023-02-09,30000
2023,1419,2023-02-24,368.06
2023,1138,2023-02-07,2936.69
2023,1133,2023-02-06,95139.99
2023,1375,2023-02-20,235.1
2023,1362,2023-02-20,6052.48
2023,1075,2023-02-01,64.37
2023,1237,2023-02-10,5266.18
2023,1370,2023-02-20,97.31
2023,1102,2023-02-03,47.92
2023,1137,2023-02-07,8212.73
2023,1076,2023-02-01,2770
2023,1440,2023-02-27,385
2023,1374,2023-02-20,231.84
2023,1303,2023-02-16,5580.2
2023,1376,2023-02-20,225.5
2023,1377,2023-02-20,300.66
2023,1236,2023-02-10,16746.41
2023,1322,2023-02-16,604.82
2023,1373,2023-02-20,212.52
2023,1394,2023-02-23,1933.04
2023,1371,2023-02-20,702.48
2023,1074,2023-02-01,559.49
2023,2067,2023-03-29,565.52
2023,2073,2023-03-29,598.56
2023,1920,2023-03-20,130.68
2023,1696,2023-03-08,1000
2023,1691,2023-03-08,64.05
2023,2069,2023-03-29,100.83
2023,1941,2023-03-21,187.22
2023,1715,2023-03-09,1414.58
2023,1686,2023-03-08,2596.42
2023,1919,2023-03-20,104.24
2023,1923,2023-03-20,7460.32
2023,1668,2023-03-07,385.51
2023,2070,2023-03-29,310.99
2023,1669,2023-03-07,294.35
2023,1925,2023-03-20,94.27
2023,1693,2023-03-08,265.38
2023,1737,2023-03-10,76.66
2023,1687,2023-03-08,9.56
2023,1692,2023-03-08,120.86
2023,2072,2023-03-29,114.64
2023,1735,2023-03-10,4262.67
2023,1728,2023-03-10,385
2023,1716,2023-03-09,212.91
2023,1667,2023-03-07,468.28
2023,1684,2023-03-08,251.94
2023,1685,2023-03-08,547.43
2023,2068,2023-03-29,42.85
2023,2075,2023-03-29,143.06
2023,1780,2023-03-13,773.34
2023,1738,2023-03-10,150.71
2023,1689,2023-03-08,72
2023,1942,2023-03-21,224.61
2023,1688,2023-03-08,117.5
2023,1918,2023-03-20,801.69
2023,1926,2023-03-20,565.52
2023,1736,2023-03-10,115.03
2023,1921,2023-03-20,237.01
2023,1690,2023-03-08,235.78
2023,1714,2023-03-09,803.7
2023,1670,2023-03-07,211.66
2023,2071,2023-03-29,101.65
2023,1922,2023-03-20,7196.15
2023,1924,2023-03-20,2011.42
2023,1695,2023-03-08,2353.06
2023,2322,2023-04-06,480.68
2023,2252,2023-04-03,103.71
2023,2326,2023-04-06,1841
2023,2249,2023-04-03,339.33
2023,2665,2023-04-26,4000
2023,2250,2023-04-03,111.42
2023,2411,2023-04-12,84.55
2023,2410,2023-04-12,103.71
2023,2506,2023-04-17,2621.93
2023,2404,2023-04-12,1360.47
2023,2407,2023-04-12,88.38
2023,2297,2023-04-05,269.43
2023,2300,2023-04-06,385
2023,2325,2023-04-06,97.04
2023,2248,2023-04-03,108.79
2023,2637,2023-04-25,5863.14
2023,2509,2023-04-17,206.84
2023,2323,2023-04-06,35
2023,2251,2023-04-03,109.07
2023,2405,2023-04-12,103.71
2023,2634,2023-04-25,393.87
2023,2406,2023-04-12,16.94
2023,2282,2023-04-04,219.64
2023,2633,2023-04-25,260.04
2023,2279,2023-04-04,359.41
2023,2246,2023-04-03,48
2023,2245,2023-04-03,153.05
2023,2324,2023-04-06,111.59
2023,2361,2023-04-11,186.34
2023,2247,2023-04-03,822.63
2023,2327,2023-04-06,3314.16
2023,2283,2023-04-04,317.85
2023,2635,2023-04-25,912.03
2023,2409,2023-04-12,130.61
2023,2508,2023-04-17,581.77
2023,2412,2023-04-12,52.53
2023,2532,2023-04-18,43004.28
2023,2636,2023-04-25,190.58
2023,2408,2023-04-12,600
2023,2278,2023-04-04,37.59
2023,3386,2023-05-29,4986.84
2023,3245,2023-05-22,578.39
2023,3248,2023-05-22,8835
2023,3210,2023-05-19,6796.91
2023,3250,2023-05-22,197.1
2023,3206,2023-05-19,273.23
2023,3209,2023-05-19,9944.97
2023,3253,2023-05-22,188
2023,3213,2023-05-19,42
2023,2995,2023-05-09,2551.25
2023,3344,2023-05-25,71993.43
2023,3247,2023-05-22,755.43
2023,2861,2023-05-03,454.88
2023,2856,2023-05-03,240
2023,2994,2023-05-09,2286.31
2023,3211,2023-05-19,440
2023,3411,2023-05-30,100
2023,3088,2023-05-12,383.2
2023,3085,2023-05-12,103.49
2023,3306,2023-05-24,491.4
2023,3208,2023-05-19,237.42
2023,3246,2023-05-22,90
2023,3412,2023-05-30,357.98
2023,3100,2023-05-15,194.28
2023,2959,2023-05-05,36
2023,3084,2023-05-12,1696.55
2023,3249,2023-05-22,65.17
2023,2855,2023-05-03,84.27
2023,3388,2023-05-29,393.19
2023,3086,2023-05-12,2400
2023,2958,2023-05-05,249.7
2023,3212,2023-05-19,789.6
2023,3308,2023-05-24,218.91
2023,2993,2023-05-09,4800
2023,3384,2023-05-29,550.15
2023,3252,2023-05-22,14411.08
2023,2860,2023-05-03,234
2023,3089,2023-05-12,1347
2023,3307,2023-05-24,440
2023,2858,2023-05-03,585.01
2023,2859,2023-05-03,143.52
2023,3215,2023-05-19,38.43
2023,3207,2023-05-19,205.82
2023,3251,2023-05-22,369.06
2023,3345,2023-05-25,15312.5
2023,3087,2023-05-12,22000
2023,3031,2023-05-10,10091.81
2023,3216,2023-05-19,11737.84
2023,3214,2023-05-19,114.8
2023,2857,2023-05-03,214.19
2023,3667,2023-06-06,1935
2023,3983,2023-06-20,187.5
2023,3984,2023-06-20,164.21
2023,4125,2023-06-27,288.87
2023,3985,2023-06-20,2627.98
2023,4152,2023-06-28,95.18
2023,3575,2023-06-01,78.4
2023,3942,2023-06-19,225
2023,3982,2023-06-20,544.26
2023,4005,2023-06-21,6186.72
2023,3609,2023-06-05,338
2023,3707,2023-06-07,18534.21
2023,3943,2023-06-19,1520
2023,3980,2023-06-20,25
2023,3666,2023-06-06,797.96
2023,3941,2023-06-19,15
2023,3981,2023-06-20,241.62
2023,4127,2023-06-27,645.68
2023,4009,2023-06-21,547061.9
2023,4114,2023-06-26,2236.97
2023,4065,2023-06-22,96.62
2023,3987,2023-06-20,10143.95
2023,3986,2023-06-20,1118.53
2023,3751,2023-06-09,55
2023,3988,2023-06-20,318.6
2023,4155,2023-06-28,1843.75
2023,3574,2023-06-01,153.59
2023,3607,2023-06-02,256.26
2023,4154,2023-06-28,1185.59
2023,3991,2023-06-20,62.31
2023,4066,2023-06-22,12.54
2023,4389,2023-07-05,5250
2023,4804,2023-07-26,48
2023,4390,2023-07-05,1231.51
2023,4387,2023-07-05,181.47
2023,4784,2023-07-24,2113.41
2023,4677,2023-07-17,2383.56
2023,4681,2023-07-17,114.56
2023,4680,2023-07-17,2854.11
2023,4342,2023-07-03,200
2023,4683,2023-07-17,321.8
2023,4702,2023-07-18,105.65
2023,4738,2023-07-20,515.7
2023,4682,2023-07-17,626.88
2023,4343,2023-07-03,146.62
2023,4614,2023-07-11,98.93
2023,4739,2023-07-20,119.24
2023,4678,2023-07-17,675
2023,4388,2023-07-05,1322.46
2023,4996,2023-07-31,1594.93
2023,4391,2023-07-05,177.36
2023,4679,2023-07-17,2000
2023,4946,2023-07-27,80.73
2023,4737,2023-07-20,1703.97
2023,4613,2023-07-11,800
2023,4626,2023-07-12,7132.63
2023,4947,2023-07-27,397.42
2023,4701,2023-07-18,942.53
2023,4612,2023-07-11,196.4
2023,4803,2023-07-26,155.66
2023,5474,2023-08-29,489.59
2023,5091,2023-08-03,236.29
2023,5092,2023-08-03,309.19
2023,5245,2023-08-11,719.31
2023,5286,2023-08-14,76.3
2023,5055,2023-08-03,4742.13
2023,5244,2023-08-11,922.2
2023,5089,2023-08-03,175
2023,5510,2023-08-30,22666.93
2023,5094,2023-08-03,517.12
2023,5096,2023-08-03,621.96
2023,5242,2023-08-11,156.85
2023,5470,2023-08-29,200
2023,5097,2023-08-03,363.04
2023,5087,2023-08-03,8.8
2023,5475,2023-08-29,1601.55
2023,5285,2023-08-14,375
2023,5473,2023-08-29,713.99
2023,5471,2023-08-29,167.94
2023,5287,2023-08-14,168
2023,5088,2023-08-03,240
2023,5125,2023-08-07,1040
2023,5195,2023-08-09,2421.76
2023,5095,2023-08-03,125.04
2023,5159,2023-08-08,477.9
2023,5090,2023-08-03,2464.88
2023,5093,2023-08-03,110.99
2023,5025,2023-08-02,449.9
2023,5083,2023-08-03,299815
2023,5349,2023-08-17,3135.14
2023,5472,2023-08-29,253.16
2023,6100,2023-09-27,669.96
2023,6099,2023-09-27,25
2023,5849,2023-09-13,159.3
2023,5720,2023-09-06,2400
2023,5855,2023-09-14,51702.52
2023,5740,2023-09-08,448.8
2023,6050,2023-09-25,9.86
2023,5850,2023-09-13,4300
2023,5718,2023-09-06,63.5
2023,6253,2023-09-28,1377
2023,5925,2023-09-18,515.05
2023,6049,2023-09-25,249.47
2023,5972,2023-09-21,10833.44
2023,5926,2023-09-18,432.15
2023,6065,2023-09-26,128.9
2023,6102,2023-09-27,1393.55
2023,5946,2023-09-19,51.55
2023,5929,2023-09-18,477.9
2023,6048,2023-09-25,1216.46
2023,6043,2023-09-25,525.65
2023,6257,2023-09-28,218
2023,6066,2023-09-26,201.07
2023,6046,2023-09-25,181.46
2023,5936,2023-09-19,96.62
2023,5719,2023-09-06,10.78
2023,6044,2023-09-25,334.41
2023,5682,2023-09-04,334.86
2023,6045,2023-09-25,147.7
2023,5886,2023-09-14,288.64
2023,6035,2023-09-22,110
2023,5937,2023-09-19,96.62
2023,5965,2023-09-20,191.25
2023,6101,2023-09-27,1500
2023,5810,2023-09-11,108.17
2023,5738,2023-09-08,531.72
2023,5681,2023-09-04,1022.75
2023,5749,2023-09-11,216.28
2023,6095,2023-09-27,1841.33
2023,5739,2023-09-08,909.11
2023,5828,2023-09-12,8458.4
2023,5924,2023-09-18,489.6
2023,5927,2023-09-18,363.25
2023,6047,2023-09-25,336.42
2023,6605,2023-10-20,280
2023,6607,2023-10-20,129.6
2023,6504,2023-10-13,3117.97
2023,6544,2023-10-17,302.08
2023,6584,2023-10-19,480
2023,6585,2023-10-19,257.35
2023,6415,2023-10-09,55.08
2023,6527,2023-10-16,652.15
2023,6571,2023-10-18,229.9
2023,6417,2023-10-09,86.46
2023,6287,2023-10-02,1079.85
2023,6288,2023-10-02,1200
2023,6420,2023-10-09,3590.64
2023,6506,2023-10-13,641.98
2023,6526,2023-10-16,611.54
2023,6525,2023-10-16,468.53
2023,6606,2023-10-20,175.5
2023,6528,2023-10-16,626.82
2023,6503,2023-10-13,655.94
2023,6827,2023-10-30,1450
2023,6663,2023-10-25,11898.87
2023,6414,2023-10-09,24
2023,6416,2023-10-09,150
2023,6461,2023-10-11,2665.33
2023,6700,2023-10-27,673.56
2023,6419,2023-10-09,3325.7
2023,6664,2023-10-25,1175.48
2023,6648,2023-10-24,35.7
2023,6583,2023-10-19,645
2023,7158,2023-11-17,1477.2
2023,6932,2023-11-03,37.5
2023,6930,2023-11-03,252.88
2023,7103,2023-11-14,174.86
2023,7104,2023-11-14,66
2023,6926,2023-11-03,7817.18
2023,7270,2023-11-22,990.61
2023,7269,2023-11-22,30
2023,7225,2023-11-21,98.81
2023,7194,2023-11-20,188.52
2023,6925,2023-11-03,48.48
2023,7156,2023-11-17,79.89
2023,6931,2023-11-03,30
2023,6955,2023-11-08,13500
2023,6923,2023-11-03,3782.68
2023,7272,2023-11-22,1309.5
2023,7195,2023-11-20,324.17
2023,7273,2023-11-22,40
2023,7257,2023-11-22,2.4
2023,7352,2023-11-27,791.03
2023,6954,2023-11-08,1921.95
2023,7353,2023-11-27,547.28
2023,7315,2023-11-24,7649.52
2023,6928,2023-11-03,1131.03
2023,7155,2023-11-17,51
2023,7314,2023-11-24,2897.35
2023,6927,2023-11-03,477.9
2023,7159,2023-11-17,2635.52
2023,7197,2023-11-20,72.32
2023,7271,2023-11-22,4572.27
2023,7196,2023-11-20,1691
2023,6947,2023-11-07,63
2023,6929,2023-11-03,3796.83
2023,7613,2023-12-05,250.57
2023,7565,2023-12-01,554.43
2023,7619,2023-12-05,1430.4
2023,7798,2023-12-19,89405.54
2023,7709,2023-12-08,1280
2023,7804,2023-12-19,4287.18
2023,7614,2023-12-05,460.73
2023,7807,2023-12-20,159.9
2023,7618,2023-12-05,2670.63
2023,7631,2023-12-06,159.3
2023,7794,2023-12-18,173.8
2023,7791,2023-12-18,100000
2023,7795,2023-12-18,700.02
2023,7616,2023-12-05,285.36
2023,7656,2023-12-07,477.9
2023,7564,2023-12-01,498.67
2023,7699,2023-12-07,1232.11
2023,7806,2023-12-20,104.48
2023,7617,2023-12-05,6000
