anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,805,2023-01-26,14699.97
2023,660,2023-01-19,5550
2023,461,2023-01-11,2202.14
2023,433,2023-01-09,4499
2023,432,2023-01-09,10949.99
2023,462,2023-01-11,20902.86
2023,2575,2023-04-20,2514.31
2023,2576,2023-04-20,5340
2023,2265,2023-04-04,1640
2023,2574,2023-04-20,13600
2023,3165,2023-05-18,900
2023,3063,2023-05-12,15000
2023,3875,2023-06-16,1335
2023,3723,2023-06-09,13140
2023,4620,2023-07-12,17355
2023,5884,2023-09-14,264000
2023,6120,2023-09-28,1690
2023,6498,2023-10-13,2780
2023,6610,2023-10-23,1361
2023,7102,2023-11-14,480
