anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2026,920,2026-01-29,169.07
2026,922,2026-01-29,428.3
2026,996,2026-01-29,338.13
2026,992,2026-01-29,6086.34
2026,988,2026-01-29,5686.29
2026,102,2026-01-02,600000
2026,1001,2026-01-29,95145.1
2026,995,2026-01-29,2197.87
2026,983,2026-01-29,6371.63
2026,1000,2026-01-29,456428.18
2026,1582,2026-02-26,2310.58
2026,1575,2026-02-26,490608.54
2026,1552,2026-02-26,519.28
2026,1574,2026-02-26,5810.27
2026,1579,2026-02-26,6655.99
2026,1583,2026-02-26,338.13
2026,1572,2026-02-26,112999.37
2026,1569,2026-02-26,9014.76
2026,1553,2026-02-26,2409.23
2026,2339,2026-03-30,126364.12
2026,2340,2026-03-30,528131.48
2026,2270,2026-03-30,169.06
2026,2331,2026-03-30,5917.33
2026,1867,2026-03-09,169.06
2026,2336,2026-03-30,326.86
2026,2335,2026-03-30,2171.24
2026,2328,2026-03-30,7520.07
2026,2500,2026-03-31,304.32
2026,2345,2026-03-30,2366.93
2026,2344,2026-03-30,5545.33
2026,2277,2026-03-30,2362.46
2026,2276,2026-03-30,929.85
