anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,303,2024-01-03,15000
2024,1728,2024-02-29,90000
2024,3657,2024-05-29,170.97
2024,3341,2024-05-08,176640
2024,4230,2024-06-21,10000
2024,4280,2024-06-24,170.97
2024,4301,2024-06-25,7856.68
2024,4155,2024-06-18,79.79
2024,4154,2024-06-18,170.97
2024,4571,2024-06-28,455.92
2024,4300,2024-06-25,16656.18
2024,4188,2024-06-19,79.79
2024,5562,2024-08-09,1800
2024,5552,2024-08-09,19372.77
2024,5796,2024-08-26,40460
2024,6129,2024-09-02,307.74
2024,6276,2024-09-11,14468.87
2024,6130,2024-09-02,615.51
2024,7544,2024-11-06,79.79
2024,8024,2024-11-28,79.79
2024,8019,2024-11-28,13798.58
2024,7545,2024-11-06,79.79
2024,8023,2024-11-28,79.79
